mu phi sigma rho nu
-0.4669 0.9646 0.1665 -0.2775 14
-0.4084 0.9540 0.1768 -0.4899 10
-0.4381 0.9731 0.1588 -0.2335 12
-0.2921 0.9696 0.1583 -0.1118 20
-0.4140 0.9370 0.2350 -0.3834 13
-0.4242 0.9657 0.1733 -0.2132 11
-0.4207 0.9628 0.1678 -0.4701 11
-0.4193 0.9582 0.1803 -0.2950 15
-0.3245 0.9530 0.1915 -0.5035 20
-0.3912 0.9835 0.1035 -0.2796 13
-0.3726 0.9616 0.1713 -0.3052 11
-0.4145 0.9667 0.1632 -0.3526 14
-0.3940 0.9509 0.2071 -0.2950 15
-0.4311 0.9730 0.1533 -0.1561 11
-0.2310 0.9666 0.1808 -0.2734 41
-0.3584 0.9768 0.1417 -0.4534 12
-0.3875 0.9414 0.1950 -0.4358 15
-0.5154 0.9686 0.1445 -0.2871 9
-0.3958 0.9582 0.1727 -0.2108 13
-0.4183 0.9655 0.1519 -0.1579 10
-0.3497 0.9650 0.1575 -0.3159 23
-0.4609 0.9687 0.1473 -0.4315 9
-0.4205 0.9697 0.1499 -0.2944 9
-0.4130 0.9724 0.1424 -0.2964 11
-0.3812 0.9672 0.1742 -0.3867 15
-0.3846 0.9603 0.1876 -0.2820 16
-0.3464 0.9638 0.1773 -0.3251 20
-0.4349 0.9676 0.1662 -0.3500 17
-0.4786 0.9436 0.2044 -0.3029 11
-0.4335 0.9535 0.1902 -0.4542 13
-0.4073 0.9546 0.1917 -0.2687 17
-0.3941 0.9373 0.2418 -0.3429 13
-0.3666 0.9629 0.1775 -0.2680 12
-0.5077 0.9641 0.1661 -0.2091 11
-0.3745 0.9263 0.2381 -0.3289 13
-0.3693 0.9548 0.1781 -0.2970 12
-0.3750 0.9671 0.1654 -0.2359 19
-0.4404 0.9633 0.1419 -0.4288 9
-0.4937 0.9601 0.1891 -0.4238 8
-0.3275 0.9520 0.1995 -0.1981 25
-0.3469 0.9718 0.1317 -0.3606 13
-0.3339 0.9545 0.1839 -0.3189 19
-0.3843 0.9686 0.1471 -0.3794 11
-0.2867 0.9625 0.1712 -0.2412 19
-0.4217 0.9720 0.1521 -0.4125 13
-0.3568 0.9719 0.1368 -0.1739 12
-0.4948 0.9688 0.1571 -0.1987 10
-0.4550 0.9580 0.1576 -0.4063 8
-0.3712 0.9705 0.1689 -0.2298 12
-0.3680 0.9466 0.1988 -0.3993 11
-0.4138 0.9655 0.1606 -0.3067 9
-0.4980 0.9648 0.1679 -0.3086 9
-0.2931 0.9591 0.1947 -0.3778 16
-0.4201 0.9748 0.1311 -0.2055 9
-0.3606 0.9655 0.1556 -0.4611 11
-0.3804 0.9628 0.1866 -0.4243 21
-0.4037 0.9582 0.1924 -0.2725 15
-0.3740 0.9614 0.1616 -0.2831 14
-0.3908 0.9533 0.1874 -0.2097 16
-0.2552 0.9348 0.2422 -0.3401 41
-0.2932 0.9694 0.1695 -0.2750 36
-0.3586 0.9649 0.1758 -0.3547 20
-0.4176 0.9639 0.1598 -0.3913 11
-0.4561 0.9555 0.1852 -0.3961 8
-0.3565 0.9700 0.1568 -0.3322 10
-0.4219 0.9702 0.1459 -0.2344 12
-0.4349 0.9358 0.1994 -0.3150 10
-0.4283 0.9510 0.2011 -0.2511 12
-0.3518 0.9716 0.1543 -0.4299 13
-0.3350 0.9720 0.1581 -0.1910 16
-0.3496 0.9569 0.1671 -0.1531 12
-0.3849 0.9692 0.1369 -0.1940 11
-0.4012 0.9658 0.1711 -0.2116 17
-0.3904 0.9644 0.1532 -0.2870 12
-0.4390 0.9517 0.1884 -0.1004 11
-0.4314 0.9534 0.1925 -0.3297 13
-0.4727 0.9665 0.1638 -0.4529 9
-0.3666 0.9462 0.2099 -0.3684 19
-0.2839 0.9640 0.1742 -0.3737 33
-0.3094 0.9449 0.2111 -0.3138 15
-0.3828 0.9688 0.1506 -0.3251 12
-0.3970 0.9684 0.1539 -0.3321 12
-0.4180 0.9680 0.1487 -0.2856 12
-0.4793 0.9666 0.1533 -0.2943 10
-0.4359 0.9718 0.1435 -0.2920 8
-0.3652 0.9557 0.1772 -0.2353 13
-0.3972 0.9648 0.1679 -0.2793 11
-0.3789 0.9530 0.1745 -0.4732 12
-0.3861 0.9585 0.1816 -0.2359 12
-0.4561 0.9654 0.1858 -0.2959 11
-0.4920 0.9542 0.1971 -0.2855 7
-0.3921 0.9280 0.2051 -0.3944 16
-0.3116 0.9564 0.2030 -0.3598 28
-0.3860 0.9458 0.2081 -0.2772 18
-0.2980 0.9584 0.1964 -0.2102 20
-0.3270 0.9552 0.1684 -0.3632 23
-0.3567 0.9576 0.1710 -0.2832 10
-0.3852 0.9686 0.1627 -0.3519 13
-0.4291 0.9482 0.2022 -0.2990 11
-0.3743 0.9545 0.1984 -0.2089 21
-0.3239 0.9609 0.1864 -0.2537 15
-0.3184 0.9616 0.1575 -0.1768 19
-0.4038 0.9627 0.1709 -0.4276 11
-0.4275 0.9594 0.1669 -0.4510 10
-0.3877 0.9659 0.1690 -0.3408 18
-0.2836 0.9565 0.1920 -0.2274 32
-0.4247 0.9676 0.1565 -0.4093 10
-0.4107 0.9431 0.2183 -0.4132 17
-0.3939 0.9690 0.1566 -0.4020 10
-0.4858 0.9599 0.1895 -0.2256 10
-0.3393 0.9392 0.2208 -0.2613 16
-0.4103 0.9683 0.1433 -0.2554 13
-0.4032 0.9635 0.1615 -0.4531 10
-0.3929 0.9676 0.1539 -0.3898 13
-0.3742 0.9605 0.1854 -0.2294 18
-0.3318 0.9604 0.1855 -0.0891 16
-0.4084 0.9527 0.1859 -0.2185 10
-0.3165 0.9517 0.1896 -0.2591 45
-0.2665 0.9782 0.1245 -0.3259 19
-0.3573 0.9638 0.1706 -0.4185 17
-0.3601 0.9648 0.1610 -0.3018 13
-0.3655 0.9578 0.1784 -0.3002 14
-0.3833 0.9705 0.1552 -0.3959 10
-0.4029 0.9676 0.1548 -0.4361 10
-0.3571 0.9655 0.1641 -0.2609 12
-0.4709 0.9745 0.1353 -0.1242 13
-0.4479 0.9576 0.1717 -0.3219 12
-0.4600 0.9626 0.1542 -0.4323 9
-0.2729 0.9671 0.1671 -0.2491 17
-0.4058 0.9668 0.1559 -0.4337 11
-0.3266 0.9403 0.1945 -0.3455 19
-0.3522 0.9559 0.1680 -0.1529 17
-0.4183 0.9620 0.1760 -0.2995 15
-0.3907 0.9574 0.1909 -0.2907 16
-0.4969 0.9737 0.1326 -0.2020 8
-0.4626 0.9647 0.1662 -0.3064 11
-0.2982 0.9622 0.1638 -0.3506 20
-0.2916 0.9736 0.1426 -0.3172 28
-0.3779 0.9556 0.1734 -0.0630 16
-0.4854 0.9662 0.1653 -0.4346 8
-0.3956 0.9656 0.1486 -0.3063 11
-0.2790 0.9548 0.1940 -0.3116 35
-0.4033 0.9537 0.2042 -0.4482 11
-0.3999 0.9678 0.1500 -0.4385 9
-0.3623 0.9100 0.2805 -0.2682 26
-0.3732 0.9602 0.1723 -0.3891 15
-0.2865 0.9668 0.1628 -0.2086 41
