mu phi sigma rho nu
-0.4676 0.9643 0.1522 -0.3848 11
-0.4320 0.9577 0.1776 -0.3504 10
-0.3652 0.9748 0.1229 -0.2750 12
-0.4558 0.9566 0.1870 -0.3537 10
-0.4077 0.9769 0.1335 -0.2171 11
-0.4732 0.9694 0.1483 -0.2019 10
-0.4054 0.9718 0.1528 -0.3649 13
-0.3566 0.9738 0.1296 -0.2813 17
-0.3570 0.9551 0.1751 -0.3098 14
-0.3643 0.9661 0.1713 -0.3433 16
-0.3907 0.9479 0.2006 -0.3691 12
-0.4535 0.9606 0.1855 -0.3169 10
-0.3387 0.9695 0.1650 -0.1790 17
-0.3444 0.9338 0.2447 -0.2526 25
-0.4446 0.9663 0.1728 -0.3276 11
-0.4190 0.9296 0.2166 -0.3475 9
-0.3560 0.9600 0.1941 -0.2386 38
-0.4852 0.9588 0.1784 -0.3819 11
-0.4539 0.9726 0.1526 -0.3355 10
-0.4176 0.9793 0.1534 -0.2238 11
-0.3946 0.9649 0.1597 -0.3423 10
-0.3810 0.9535 0.1852 -0.2806 15
-0.3697 0.9500 0.2042 -0.1790 10
-0.4631 0.9703 0.1479 -0.3041 8
-0.2898 0.9611 0.1609 -0.2176 22
-0.3841 0.9722 0.1527 -0.2114 10
-0.2898 0.9595 0.1708 -0.1941 22
-0.3525 0.9472 0.2042 -0.3218 16
-0.4556 0.9618 0.1658 -0.3812 9
-0.4136 0.9516 0.1937 -0.1897 13
-0.4001 0.9705 0.1496 -0.2918 10
-0.3606 0.9501 0.1871 -0.3328 14
-0.4780 0.9638 0.1528 -0.3427 10
-0.4120 0.9580 0.1864 -0.4912 10
-0.4151 0.9654 0.1682 -0.2929 11
-0.3654 0.9629 0.1673 -0.2572 11
-0.4254 0.9619 0.1872 -0.1731 17
-0.3515 0.9672 0.1645 -0.2807 15
-0.5165 0.9582 0.1988 -0.3314 8
-0.3842 0.9497 0.2037 -0.3179 16
-0.4479 0.9755 0.1405 -0.1745 8
-0.4269 0.9277 0.2317 -0.1493 10
-0.3984 0.9514 0.1874 -0.2937 14
-0.3970 0.9712 0.1581 -0.3452 12
-0.3619 0.9586 0.1833 -0.3202 20
-0.3952 0.9658 0.1746 -0.2935 17
-0.2818 0.9697 0.1538 -0.4370 23
-0.4380 0.9708 0.1381 -0.2976 9
-0.4067 0.9688 0.1419 -0.2436 13
-0.4306 0.9543 0.2078 -0.4042 13
-0.4573 0.9572 0.1847 -0.2028 10
-0.3515 0.9649 0.1699 -0.2289 14
-0.3721 0.9443 0.2072 -0.4944 14
-0.4399 0.9610 0.1579 -0.3297 14
-0.4946 0.9663 0.1823 -0.2642 9
-0.4033 0.9560 0.1733 -0.1479 12
-0.3047 0.9542 0.2102 -0.2889 40
-0.5076 0.9635 0.1525 -0.4464 9
-0.4049 0.9526 0.1993 -0.2138 15
-0.4264 0.9635 0.1701 -0.4577 9
-0.4281 0.9710 0.1381 -0.3604 11
-0.4293 0.9652 0.1629 -0.3054 11
-0.2976 0.9570 0.1729 -0.3010 19
-0.4899 0.9694 0.1517 -0.1528 8
-0.4107 0.9668 0.1488 -0.4147 12
-0.4962 0.9690 0.1663 -0.2453 9
-0.2839 0.9634 0.1788 -0.3917 28
-0.5109 0.9794 0.1348 -0.3602 8
-0.4591 0.9571 0.1672 -0.2903 8
-0.3628 0.9643 0.1703 -0.4499 13
-0.3923 0.9626 0.1731 -0.1708 12
-0.4648 0.9414 0.2033 -0.3977 17
-0.4542 0.9521 0.1927 -0.2872 11
-0.4247 0.9676 0.1563 -0.4321 11
-0.3769 0.9535 0.1923 -0.3916 20
-0.4379 0.9642 0.1526 -0.3317 9
-0.4430 0.9704 0.1463 -0.2727 10
-0.4060 0.9655 0.1631 -0.4202 13
-0.2839 0.9532 0.2088 -0.3813 17
-0.3691 0.9525 0.2017 -0.4334 17
-0.3485 0.9688 0.1574 -0.3712 14
-0.3711 0.9560 0.1762 -0.3216 14
-0.4515 0.9712 0.1470 -0.3476 11
-0.3697 0.9446 0.2170 -0.1288 22
-0.3424 0.9452 0.2142 -0.2849 44
-0.3541 0.9746 0.1448 -0.4354 12
-0.3954 0.9658 0.1657 -0.1291 12
-0.3773 0.9621 0.1548 -0.4421 14
-0.3174 0.9638 0.1655 -0.3679 16
-0.3123 0.9454 0.2088 -0.4468 37
-0.4571 0.9427 0.2062 -0.3407 15
-0.4513 0.9666 0.1501 -0.2799 9
-0.3530 0.9629 0.1599 -0.2179 17
-0.4419 0.9444 0.2143 -0.3733 12
-0.4475 0.9530 0.1696 -0.2802 9
-0.4273 0.9711 0.1522 -0.2918 11
-0.3229 0.9465 0.2057 -0.3396 14
-0.4040 0.9645 0.1641 -0.2903 14
-0.3769 0.9658 0.1649 -0.2204 9
-0.4459 0.9651 0.1526 -0.3265 10
-0.2755 0.9758 0.1328 -0.4051 15
-0.3566 0.9534 0.1645 -0.4196 12
-0.3246 0.9651 0.1649 -0.2372 12
-0.4356 0.9684 0.1448 -0.2187 8
-0.3750 0.9651 0.1578 -0.3436 9
-0.3474 0.9618 0.1797 -0.3504 19
-0.4069 0.9694 0.1614 -0.3253 14
-0.4723 0.9736 0.1416 -0.4013 9
-0.4067 0.9582 0.1813 -0.2933 13
-0.3444 0.9652 0.1649 -0.3647 14
-0.3008 0.9499 0.1957 -0.2204 21
-0.4316 0.9561 0.1703 -0.3237 13
-0.4081 0.9615 0.1755 -0.1061 17
-0.3604 0.9490 0.2026 -0.2490 13
-0.3692 0.9485 0.1922 -0.3674 12
-0.2872 0.9757 0.1366 -0.3284 16
-0.4294 0.9604 0.1774 -0.4686 14
-0.3540 0.9730 0.1500 -0.4012 12
-0.2788 0.9638 0.1720 -0.2530 27
-0.3763 0.9588 0.1741 -0.4245 12
-0.4126 0.9676 0.1607 -0.3477 13
-0.4262 0.9663 0.1548 -0.2961 10
-0.3722 0.9766 0.1416 -0.2979 14
-0.3711 0.9660 0.1575 -0.3407 15
-0.4400 0.9711 0.1231 -0.3160 8
-0.4598 0.9641 0.1599 -0.3994 8
-0.3906 0.9579 0.1697 -0.3118 11
-0.4931 0.9723 0.1419 -0.2383 9
-0.4352 0.9551 0.1810 -0.3229 8
-0.3545 0.9691 0.1545 -0.4099 17
-0.5356 0.9628 0.1667 -0.3235 8
-0.5013 0.9449 0.1856 -0.2620 9
-0.4355 0.9752 0.1339 -0.2413 9
-0.4364 0.9535 0.1775 -0.3454 11
-0.3612 0.9479 0.1901 -0.2350 15
-0.4138 0.9608 0.1679 -0.3317 17
-0.4230 0.9750 0.1249 -0.2527 10
-0.2471 0.9455 0.1995 -0.2648 40
-0.4456 0.9666 0.1582 -0.2871 10
-0.3998 0.9541 0.1786 -0.4435 16
-0.4703 0.9466 0.1622 -0.2786 11
-0.4595 0.9631 0.1745 -0.1678 10
-0.3441 0.9706 0.1413 -0.3806 19
-0.4481 0.9531 0.1764 -0.3865 9
-0.3552 0.9653 0.1831 -0.3626 11
-0.3427 0.9706 0.1576 -0.3714 16
-0.3174 0.9669 0.1749 -0.3151 19
-0.3648 0.9662 0.1647 -0.3258 19
-0.4191 0.9727 0.1409 -0.1808 9
-0.3413 0.9659 0.1593 -0.3737 24
-0.4357 0.9554 0.1684 -0.3678 12
-0.4473 0.9662 0.1602 -0.3211 9
-0.4344 0.9649 0.1619 -0.3058 10
-0.3500 0.9544 0.2128 -0.3792 17
-0.4092 0.9577 0.1814 -0.2221 15
-0.3641 0.9424 0.1908 -0.3470 12
-0.3732 0.9586 0.1811 -0.2008 16
-0.4194 0.9555 0.1586 -0.3841 16
-0.3536 0.9526 0.2027 -0.2020 14
-0.3423 0.9711 0.1522 -0.3410 17
-0.3998 0.9622 0.1802 -0.3204 13
-0.4653 0.9710 0.1551 -0.3891 8
-0.3387 0.9608 0.1589 -0.0525 14
-0.3963 0.9640 0.1635 -0.3085 13
-0.3199 0.9633 0.1657 -0.2730 18
-0.3205 0.9388 0.2369 -0.4714 20
-0.4064 0.9729 0.1435 -0.2397 9
-0.3393 0.9663 0.1626 -0.2986 11
-0.4408 0.9430 0.2148 -0.3696 10
-0.3873 0.9709 0.1367 -0.1415 14
-0.3638 0.9654 0.1566 -0.2272 15
-0.4849 0.9561 0.1690 -0.1886 9
-0.4712 0.9714 0.1560 -0.3460 9
-0.3230 0.9337 0.2069 -0.3976 14
-0.2931 0.9397 0.2163 -0.2453 26
-0.3696 0.9436 0.2489 -0.3092 12
-0.3221 0.9662 0.1633 -0.3317 26
-0.3724 0.9668 0.1576 -0.3629 15
-0.3795 0.9752 0.1372 -0.3555 12
-0.4038 0.9610 0.1703 -0.2360 10
-0.4261 0.9667 0.1714 -0.2201 11
-0.4841 0.9516 0.1816 -0.2027 10
-0.4764 0.9703 0.1517 -0.2196 12
-0.3365 0.9544 0.2041 -0.2942 20
-0.3887 0.9722 0.1527 -0.1783 15
-0.2999 0.9431 0.2084 -0.4170 29
-0.3344 0.9644 0.1630 -0.3689 16
-0.4446 0.9552 0.1821 -0.2266 12
-0.4455 0.9631 0.1647 -0.2408 15
-0.4354 0.9720 0.1394 -0.3512 11
-0.4412 0.9656 0.1761 -0.3991 9
-0.3179 0.9636 0.1555 -0.1280 11
-0.3467 0.9716 0.1492 -0.1724 12
-0.3660 0.9649 0.1618 -0.3650 15
-0.4543 0.9607 0.1733 -0.4214 13
-0.4800 0.9542 0.1937 -0.3120 9
-0.3706 0.9500 0.2035 -0.4148 11
-0.3589 0.9668 0.1696 -0.3905 13
-0.3816 0.9586 0.1829 -0.3397 18
-0.3978 0.9783 0.1440 -0.2931 15
-0.3760 0.9631 0.1663 -0.1880 26
-0.4583 0.9644 0.1633 -0.1259 10
-0.3523 0.9571 0.1903 -0.3131 20
-0.2556 0.9616 0.1712 -0.2875 16
-0.3848 0.9656 0.1791 -0.2389 11
-0.4513 0.9616 0.1702 -0.3734 8
-0.4411 0.9628 0.1595 -0.4261 11
-0.2957 0.9627 0.1840 -0.3649 32
-0.4155 0.9697 0.1682 -0.3265 13
-0.3265 0.9547 0.1999 -0.3957 34
-0.4680 0.9444 0.2043 -0.2371 10
-0.3717 0.9732 0.1454 -0.1067 17
-0.3326 0.9731 0.1457 -0.3775 11
-0.4196 0.9607 0.1685 -0.2479 13
-0.4127 0.9722 0.1468 -0.2807 11
-0.4472 0.9678 0.1657 -0.2614 9
-0.4100 0.9659 0.1460 -0.3257 12
-0.4059 0.9572 0.1642 -0.2274 12
-0.4208 0.9806 0.1111 -0.2103 12
-0.4396 0.9531 0.1788 -0.4967 9
-0.4266 0.9744 0.1550 -0.4264 13
-0.4563 0.9785 0.1296 -0.3616 10
-0.4076 0.9656 0.1659 -0.4728 12
-0.3717 0.9612 0.1784 -0.2778 12
-0.4121 0.9638 0.1737 -0.3678 10
-0.3557 0.9406 0.2216 -0.3112 23
-0.3507 0.9735 0.1588 -0.3655 18
-0.3633 0.9499 0.1903 -0.4109 14
-0.4174 0.9722 0.1595 -0.4097 10
-0.4353 0.9552 0.1799 -0.4121 12
-0.3572 0.9347 0.1890 -0.4064 21
-0.3234 0.9459 0.1963 -0.1912 20
-0.3045 0.9438 0.2093 -0.3440 12
-0.3911 0.9660 0.1644 -0.3526 14
-0.5275 0.9663 0.1542 -0.3170 9
-0.3614 0.9511 0.1858 -0.2861 16
-0.5044 0.9688 0.1482 -0.2745 9
-0.3969 0.9611 0.1755 -0.2543 19
-0.3844 0.9673 0.1897 -0.4295 16
-0.4422 0.9565 0.1766 -0.3320 11
-0.3830 0.9543 0.1947 -0.3787 19
-0.4314 0.9484 0.2057 -0.4252 12
-0.3506 0.9515 0.1838 -0.3425 10
-0.3199 0.9583 0.1879 -0.3449 20
-0.4157 0.9571 0.1910 -0.5213 18
-0.4044 0.9376 0.2277 -0.3150 15
-0.3525 0.9623 0.1737 -0.2811 12
-0.4871 0.9490 0.1914 -0.1151 8
-0.3729 0.9548 0.1753 -0.5033 12
-0.3573 0.9682 0.1710 -0.3063 11
-0.4332 0.9692 0.1415 -0.3902 11
-0.4141 0.9641 0.1708 -0.2493 15
-0.2815 0.9468 0.2139 -0.2884 22
-0.4632 0.9582 0.1774 -0.3142 8
-0.4578 0.9631 0.1501 -0.2632 11
-0.4206 0.9590 0.1845 -0.3090 13
-0.3720 0.9507 0.1825 -0.3258 15
-0.4131 0.9514 0.1893 -0.3017 13
-0.4177 0.9661 0.1664 -0.3035 11
-0.3887 0.9599 0.1861 -0.4404 18
-0.4055 0.9606 0.1805 -0.0816 14
-0.4146 0.9610 0.1813 -0.2556 11
-0.3525 0.9565 0.1676 -0.1781 18
-0.3786 0.9514 0.1990 -0.2142 16
-0.4632 0.9653 0.1651 -0.3414 11
-0.4225 0.9705 0.1515 -0.4300 10
-0.3844 0.9570 0.1960 -0.2346 15
-0.3729 0.9717 0.1457 -0.3519 14
-0.4426 0.9715 0.1587 -0.3903 9
-0.3585 0.9539 0.1871 -0.2406 20
-0.4200 0.9535 0.1987 -0.2868 13
-0.4512 0.9636 0.1544 -0.3504 12
-0.4467 0.9507 0.2057 -0.2231 12
-0.3839 0.9607 0.1603 -0.2493 11
-0.4200 0.9595 0.1870 -0.4155 19
-0.3806 0.9546 0.1898 -0.5032 18
-0.4417 0.9669 0.1555 -0.4115 11
-0.4122 0.9703 0.1603 -0.2683 12
-0.4710 0.9710 0.1312 -0.3853 9
-0.3958 0.9473 0.1889 -0.2690 12
-0.3765 0.9629 0.1733 -0.2812 12
-0.3864 0.9504 0.2109 -0.2687 16
-0.3078 0.9661 0.1656 -0.2188 14
-0.3793 0.9513 0.1911 -0.3022 13
-0.5222 0.9673 0.1653 -0.3364 8
-0.3713 0.9667 0.1477 -0.3103 9
-0.4197 0.9580 0.1825 -0.2294 14
-0.3619 0.9604 0.1854 -0.3027 12
-0.4709 0.9690 0.1433 -0.3527 9
-0.3162 0.9574 0.1887 -0.4067 16
-0.4100 0.9549 0.1767 -0.3766 11
-0.4487 0.9504 0.2165 -0.3393 11
-0.5185 0.9547 0.1894 -0.3141 7
-0.3391 0.9698 0.1496 -0.2054 17
-0.3945 0.9582 0.1734 -0.3564 13
-0.3380 0.9660 0.1606 -0.1893 11
-0.4145 0.9572 0.1908 -0.3672 13
-0.3701 0.9751 0.1401 -0.3391 12
-0.3558 0.9356 0.2230 -0.2983 17
-0.4535 0.9530 0.1855 -0.3022 11
-0.4178 0.9676 0.1741 -0.4101 16
-0.3993 0.9747 0.1334 -0.3128 9
-0.4477 0.9607 0.1813 -0.3086 12
-0.3465 0.9626 0.1721 -0.3976 16
-0.4639 0.9667 0.1616 -0.3755 8
-0.4632 0.9602 0.1646 -0.2187 9
-0.4126 0.9616 0.1737 -0.4070 17
-0.5329 0.9690 0.1471 -0.1748 8
-0.4460 0.9705 0.1457 -0.3244 10
-0.3293 0.9713 0.1500 -0.2695 18
-0.4139 0.9716 0.1254 -0.2095 9
-0.4095 0.9574 0.1589 -0.2403 10
-0.4025 0.9641 0.1743 -0.2585 15
-0.5422 0.9645 0.1629 -0.4012 7
-0.4386 0.9434 0.2073 -0.3147 12
-0.3809 0.9481 0.2151 -0.4830 15
-0.4027 0.9582 0.1750 -0.3864 11
-0.3683 0.9622 0.1622 -0.3346 15
-0.4476 0.9611 0.1814 -0.4149 10
-0.3572 0.9634 0.1638 -0.5210 22
-0.3742 0.9376 0.2401 -0.3349 13
-0.4251 0.9528 0.2046 -0.4065 16
-0.4767 0.9246 0.2384 -0.2640 11
-0.2740 0.9543 0.2034 -0.3624 25
-0.4226 0.9630 0.1558 -0.2246 10
-0.4274 0.9702 0.1457 -0.3977 14
-0.4138 0.9670 0.1688 -0.2744 15
-0.4578 0.9487 0.2057 -0.2496 11
-0.5558 0.9722 0.1368 -0.4317 8
-0.3870 0.9652 0.1667 -0.2394 14
-0.3281 0.9546 0.2016 -0.1800 40
-0.4171 0.9690 0.1541 -0.1453 8
-0.3531 0.9580 0.1662 -0.3187 9
-0.4484 0.9798 0.1181 -0.3944 11
-0.3994 0.9665 0.1537 -0.2446 13
-0.3665 0.9691 0.1505 -0.4508 20
-0.3892 0.9635 0.1649 -0.3516 14
-0.4158 0.9629 0.1796 -0.2747 12
-0.3439 0.9694 0.1608 -0.4693 13
-0.3755 0.9607 0.1686 -0.1391 13
-0.4336 0.9503 0.1887 -0.3555 12
-0.4315 0.9603 0.1873 -0.4290 10
-0.3913 0.9500 0.2090 -0.2658 16
-0.3448 0.9609 0.1852 -0.4017 12
-0.3825 0.9606 0.1683 -0.1790 13
-0.4064 0.9605 0.1769 -0.3261 13
-0.4140 0.9539 0.1744 -0.5897 10
-0.2691 0.9612 0.1761 -0.2714 24
-0.3605 0.9621 0.1678 -0.5362 18
-0.4128 0.9532 0.1764 -0.3381 12
-0.4433 0.9734 0.1402 -0.2873 8
-0.3460 0.9613 0.1855 -0.3341 17
-0.4406 0.9738 0.1464 -0.3137 9
-0.3424 0.9581 0.1627 -0.3308 15
-0.3759 0.9722 0.1493 -0.2365 11
-0.4403 0.9646 0.1565 -0.3467 10
-0.3399 0.9544 0.1741 -0.3272 12
-0.3812 0.9533 0.1806 -0.1283 11
-0.4124 0.9575 0.1640 -0.3470 19
-0.3182 0.9500 0.1869 -0.1839 21
-0.3974 0.9527 0.2009 -0.3117 12
-0.4102 0.9330 0.2465 -0.3981 13
-0.3877 0.9803 0.1250 -0.3997 15
-0.3309 0.9602 0.1822 -0.3914 17
-0.3651 0.9780 0.1239 -0.3498 10
-0.4079 0.9505 0.2103 -0.3765 14
-0.3781 0.9721 0.1704 -0.3963 14
-0.4386 0.9720 0.1515 -0.2234 11
-0.3873 0.9566 0.1918 -0.2783 17
-0.3682 0.9572 0.1828 -0.3237 20
-0.3538 0.9541 0.1845 -0.2079 23
-0.3976 0.9475 0.2095 -0.2884 12
-0.4032 0.9657 0.1548 -0.3463 11
-0.3395 0.9732 0.1553 -0.2198 20
-0.3783 0.9646 0.1587 -0.3396 10
-0.4458 0.9590 0.1665 -0.3457 8
-0.3833 0.9577 0.1744 -0.3789 19
-0.3543 0.9574 0.1852 -0.3237 13
-0.4193 0.9563 0.1711 -0.2702 9
-0.3616 0.9540 0.2053 -0.3256 40
-0.3526 0.9584 0.1722 -0.2515 15
-0.3349 0.9639 0.1720 -0.3060 17
-0.4215 0.9614 0.1699 -0.3416 12
-0.4209 0.9760 0.1539 -0.4990 12
-0.4343 0.9628 0.1620 -0.3871 11
-0.3918 0.9623 0.1413 -0.3335 12
-0.3145 0.9565 0.1803 -0.2554 21
-0.3252 0.9611 0.1937 -0.3478 23
-0.3633 0.9603 0.1819 -0.3319 13
-0.3423 0.9714 0.1457 -0.3622 18
-0.3691 0.9664 0.1691 -0.2692 20
-0.3156 0.9731 0.1319 -0.2333 17
-0.4552 0.9667 0.1613 -0.2310 10
-0.4029 0.9654 0.1584 -0.2903 14
-0.3769 0.9649 0.1840 -0.3109 18
-0.3436 0.9599 0.1826 -0.3505 16
-0.3641 0.9603 0.1714 -0.3559 16
-0.4723 0.9745 0.1373 -0.1895 10
-0.4609 0.9624 0.1631 -0.2715 11
-0.3843 0.9733 0.1468 -0.3769 15
-0.3581 0.9638 0.1638 -0.3497 14
-0.4312 0.9571 0.1804 -0.2744 13
-0.4419 0.9421 0.2096 -0.3956 15
-0.2772 0.9666 0.1734 -0.2520 39
-0.4415 0.9508 0.2018 -0.3972 13
-0.3068 0.9243 0.2278 -0.3627 21
-0.4649 0.9481 0.2102 -0.3187 9
-0.3318 0.9762 0.1393 -0.2358 15
-0.3693 0.9560 0.1897 -0.4723 14
-0.4331 0.9487 0.2011 -0.3139 14
-0.3014 0.9487 0.2080 -0.3398 20
-0.3768 0.9694 0.1533 -0.1687 10
-0.2596 0.9768 0.1414 -0.3212 30
-0.3893 0.9641 0.1714 -0.4238 14
-0.3176 0.9443 0.2177 -0.5053 24
-0.4714 0.9475 0.1875 -0.5664 9
-0.3859 0.9592 0.1832 -0.2739 12
-0.2944 0.9638 0.1533 -0.3052 31
-0.4593 0.9324 0.2046 -0.3609 9
-0.3980 0.9438 0.1800 -0.3706 9
-0.3694 0.9633 0.1673 -0.4110 12
-0.4310 0.9644 0.1636 -0.2180 14
-0.3339 0.9598 0.1551 -0.3272 13
-0.5319 0.9541 0.1707 -0.3990 10
-0.4336 0.9736 0.1305 -0.2903 9
-0.4464 0.9761 0.1399 -0.2341 10
-0.3322 0.9648 0.1548 -0.1989 16
-0.4167 0.9682 0.1602 -0.2642 12
-0.4717 0.9730 0.1531 -0.4393 10
-0.4068 0.9669 0.1557 -0.3445 13
-0.4109 0.9689 0.1467 -0.2106 10
-0.4813 0.9786 0.1230 -0.2957 8
-0.3301 0.9488 0.1835 -0.2261 26
-0.3468 0.9623 0.1852 -0.3241 35
-0.4778 0.9496 0.1850 -0.1950 9
-0.3599 0.9449 0.1972 -0.3209 13
-0.4073 0.9604 0.1685 -0.2965 15
-0.3373 0.9774 0.1295 -0.3010 14
-0.4139 0.9692 0.1402 -0.3267 8
-0.4919 0.9629 0.1798 -0.3912 11
-0.3838 0.9511 0.2202 -0.2591 18
-0.4309 0.9647 0.1580 -0.3406 10
-0.4346 0.9625 0.1696 -0.3858 13
-0.4054 0.9589 0.1844 -0.2529 13
-0.4493 0.9715 0.1445 -0.3325 10
-0.4480 0.9582 0.1523 -0.3742 10
-0.4127 0.9597 0.1635 -0.3843 14
-0.3576 0.9610 0.1623 -0.3768 10
-0.3751 0.9637 0.1841 -0.5475 15
-0.3480 0.9702 0.1369 -0.4951 20
-0.4336 0.9619 0.1673 -0.1931 11
-0.4265 0.9585 0.1838 -0.2705 13
-0.4287 0.9711 0.1495 -0.3738 12
-0.3180 0.9673 0.1673 -0.3555 32
-0.4171 0.9645 0.1630 -0.4260 10
-0.3500 0.9320 0.2394 -0.2316 22
-0.3819 0.9625 0.1610 -0.1800 9
-0.3313 0.9589 0.1874 -0.4237 19
-0.3684 0.9612 0.1583 -0.4165 14
-0.3064 0.9514 0.1871 -0.3508 22
-0.3897 0.9603 0.1722 -0.2476 11
-0.4459 0.9714 0.1426 -0.1723 10
-0.4404 0.9704 0.1423 -0.2539 9
-0.3505 0.9590 0.1846 -0.1729 13
-0.2827 0.9439 0.1999 -0.1065 28
-0.3104 0.9670 0.1744 -0.4216 40
-0.4427 0.9603 0.2002 -0.2448 14
-0.4564 0.9706 0.1351 -0.3989 9
-0.3922 0.9580 0.1904 -0.1649 13
-0.3711 0.9584 0.1914 -0.4234 11
-0.3429 0.9604 0.1746 -0.3160 26
-0.4238 0.9529 0.1935 -0.4405 8
-0.3394 0.9660 0.1512 -0.2503 11
-0.4170 0.9776 0.1304 -0.3336 11
-0.4170 0.9615 0.1543 -0.3669 13
-0.3024 0.9672 0.1618 -0.3671 17
-0.4646 0.9666 0.1657 -0.4593 11
-0.4627 0.9592 0.1679 -0.0906 10
-0.3293 0.9594 0.1782 -0.1604 39
-0.3762 0.9549 0.1877 -0.4414 16
-0.4415 0.9629 0.1551 -0.3887 9
-0.4135 0.9690 0.1546 -0.2404 14
-0.4295 0.9734 0.1364 -0.3019 11
-0.3943 0.9616 0.1625 -0.3203 12
-0.3520 0.9616 0.1825 -0.1633 18
-0.4132 0.9516 0.2008 -0.3194 9
-0.4442 0.9727 0.1295 -0.2986 10
-0.4288 0.9574 0.1888 -0.3830 13
-0.3102 0.9595 0.1879 -0.4185 17
-0.2690 0.9627 0.1706 -0.2908 19
-0.3923 0.9801 0.1315 -0.4048 11
-0.3699 0.9590 0.1980 -0.3528 19
-0.3940 0.9760 0.1341 -0.3407 12
-0.4319 0.9797 0.1235 -0.3699 10
-0.4224 0.9556 0.2022 -0.2178 12
-0.3973 0.9564 0.1725 -0.2244 13
-0.4144 0.9698 0.1429 -0.3772 11
-0.4053 0.9551 0.1817 -0.3008 10
-0.4809 0.9707 0.1511 -0.4362 9
-0.4367 0.9703 0.1560 -0.2783 13
-0.3256 0.9686 0.1594 -0.4821 19
-0.3706 0.9657 0.1608 -0.1721 13
-0.3291 0.9654 0.1585 -0.3384 14
-0.3894 0.9476 0.2008 -0.4259 15
-0.4691 0.9492 0.2002 -0.2430 8
-0.3729 0.9740 0.1210 -0.3170 17
-0.4752 0.9630 0.1608 -0.1719 8
-0.3441 0.9580 0.1847 -0.1906 22
-0.4870 0.9703 0.1506 -0.2658 9
-0.4765 0.9396 0.2013 -0.2241 9
-0.4255 0.9734 0.1235 -0.3057 10
-0.3334 0.9669 0.1820 -0.4967 19
-0.3763 0.9667 0.1623 -0.3553 16
-0.3292 0.9506 0.2112 -0.3179 26
-0.4388 0.9745 0.1206 -0.2154 9
-0.3915 0.9653 0.1738 -0.5446 15
-0.3078 0.9681 0.1482 -0.2230 26
-0.5014 0.9558 0.2040 -0.3262 9
-0.3985 0.9687 0.1519 -0.3660 13
-0.4714 0.9739 0.1248 -0.2932 9
-0.3757 0.9671 0.1606 -0.3329 15
-0.3942 0.9637 0.1638 -0.4223 9
-0.3564 0.9499 0.1856 -0.3640 20
-0.3590 0.9638 0.1640 -0.4357 18
-0.4130 0.9627 0.1753 -0.3094 10
-0.3918 0.9542 0.1902 -0.2361 15
-0.4732 0.9441 0.2067 -0.2404 9
-0.4871 0.9592 0.1789 -0.2341 10
-0.4051 0.9540 0.1992 -0.2722 11
-0.3484 0.9652 0.1694 -0.5109 18
-0.5241 0.9653 0.1658 -0.1678 8
-0.4365 0.9545 0.1924 -0.2605 10
-0.3814 0.9686 0.1378 -0.0002 13
-0.4112 0.9777 0.1387 -0.0979 13
-0.3694 0.9693 0.1523 -0.2684 10
-0.3091 0.9702 0.1595 -0.2989 21
-0.3876 0.9508 0.1846 -0.2948 15
-0.2695 0.9762 0.1418 -0.3671 19
-0.4179 0.9508 0.2208 -0.4375 11
-0.3757 0.9507 0.2165 -0.4882 16
-0.3857 0.9687 0.1378 -0.3301 9
-0.3197 0.9699 0.1588 -0.3874 15
-0.4590 0.9736 0.1533 -0.2614 9
-0.3586 0.9496 0.1936 -0.3395 20
-0.4904 0.9653 0.1580 -0.4105 7
-0.4255 0.9527 0.2207 -0.2048 11
-0.3498 0.9709 0.1423 -0.3771 17
-0.3300 0.9399 0.2118 -0.3652 22
-0.3871 0.9671 0.1651 -0.2535 27
-0.4572 0.9632 0.1695 -0.3419 11
-0.4252 0.9623 0.1756 -0.0713 10
-0.3818 0.9665 0.1593 -0.2552 13
-0.3658 0.9724 0.1382 -0.1472 13
-0.4961 0.9680 0.1644 -0.2818 9
-0.3604 0.9568 0.1907 -0.4486 21
-0.3274 0.9514 0.2004 -0.2793 18
-0.3602 0.9636 0.1763 -0.4176 20
-0.2614 0.9516 0.1728 -0.4204 22
-0.3960 0.9656 0.1483 -0.3751 16
-0.3415 0.9590 0.1755 -0.3193 13
-0.4712 0.9714 0.1474 -0.2134 10
-0.4019 0.9566 0.1910 -0.2812 12
-0.3648 0.9565 0.1966 -0.2830 15
-0.3131 0.9604 0.1743 -0.3172 10
-0.3843 0.9623 0.1655 -0.3788 17
-0.4749 0.9692 0.1533 -0.2229 10
-0.2986 0.9594 0.1654 -0.2838 15
-0.4313 0.9445 0.1953 -0.3102 11
-0.4465 0.9729 0.1349 -0.3502 9
-0.3378 0.9645 0.1870 -0.3074 24
-0.3998 0.9651 0.1603 -0.4268 11
-0.4778 0.9773 0.1247 -0.3691 9
-0.4117 0.9468 0.2013 -0.3077 11
-0.4322 0.9626 0.1925 -0.1330 13
-0.4248 0.9582 0.1610 -0.2381 10
-0.3763 0.9706 0.1464 -0.2250 11
-0.4652 0.9640 0.1744 -0.3373 9
-0.4367 0.9770 0.1331 -0.4169 12
-0.3945 0.9587 0.1742 -0.2219 14
-0.4850 0.9597 0.1592 -0.2776 11
-0.4226 0.9674 0.1778 -0.3587 15
-0.3748 0.9591 0.1761 -0.1959 12
