mu phi sigma nu
-0.7695 0.9859 0.1189 8
-0.6102 0.9835 0.1132 10
0.1864 0.9957 0.0803 8
-0.4778 0.9676 0.1337 10
-0.5975 0.9735 0.1505 9
-0.1229 0.9925 0.1039 8
-0.4073 0.9887 0.0986 7
-0.2829 0.9663 0.1929 19
-0.6975 0.9959 0.0805 10
-0.5590 0.9926 0.0925 9
-0.2706 0.9792 0.1121 12
-0.3187 0.9679 0.1372 9
-0.3714 0.9794 0.1259 11
-0.2833 0.9827 0.1272 14
-0.1441 0.9885 0.1560 13
-0.5548 0.9738 0.1515 10
-0.3575 0.9859 0.1260 8
-0.2989 0.9803 0.1050 13
-0.1213 0.9825 0.1177 43
-0.5058 0.9850 0.1060 14
-0.2969 0.9859 0.1086 10
-0.3068 0.9913 0.0891 9
-0.2922 0.9623 0.1599 16
-0.4902 0.9850 0.1074 11
-0.3572 0.9835 0.1098 11
-0.4545 0.9813 0.1165 14
-0.1357 0.9731 0.1081 12
-0.4666 0.9822 0.1008 12
-0.3068 0.9690 0.1146 12
-0.2632 0.9904 0.0981 9
-0.5584 0.9799 0.0891 13
-0.3882 0.9883 0.0859 11
-0.3668 0.9808 0.1219 10
-0.1646 0.9936 0.0938 11
-0.4208 0.9859 0.1086 8
-0.3381 0.9837 0.1010 8
-0.3113 0.9784 0.1404 12
-0.2708 0.9767 0.1413 10
-0.5036 0.9832 0.1198 7
-0.3796 0.9926 0.0923 8
-0.5900 0.9878 0.1108 11
-0.3848 0.9814 0.0860 10
-0.4425 0.9751 0.1238 9
-0.3839 0.9773 0.1278 9
-0.2398 0.9767 0.1086 10
-0.0489 0.9919 0.1153 13
-0.1024 0.9879 0.0988 12
-0.4217 0.9730 0.1454 16
-0.2235 0.9859 0.1039 11
-0.3036 0.9747 0.1206 9
-0.4643 0.9877 0.1129 12
-0.5283 0.9816 0.1040 9
-0.2304 0.9867 0.1131 10
-0.5098 0.9845 0.1045 12
-0.1467 0.9799 0.1102 12
-0.0671 0.9801 0.1309 19
-0.4728 0.9782 0.1170 14
-0.1911 0.9595 0.1673 12
-0.4130 0.9847 0.1183 10
-0.2494 0.9911 0.1157 12
-0.4230 0.9832 0.1073 10
-0.5058 0.9819 0.1145 12
-0.3085 0.9702 0.1513 9
-0.4402 0.9787 0.1075 8
-0.3222 0.9765 0.1145 10
-0.3854 0.9817 0.1025 13
-0.3693 0.9761 0.1325 9
-0.4936 0.9757 0.1177 12
-0.2088 0.9850 0.1035 9
