mu phi sigma rho nu
-0.4113 0.9696 0.1309 -0.4531 9
-0.4418 0.9699 0.1276 -0.4125 9
-0.4426 0.9703 0.1299 -0.4447 10
-0.4421 0.9686 0.1289 -0.4427 10
-0.4649 0.9738 0.1271 -0.4653 10
-0.4539 0.9749 0.1308 -0.4640 7
-0.4389 0.9690 0.1336 -0.4571 9
-0.4528 0.9681 0.1314 -0.4314 7
-0.4434 0.9678 0.1351 -0.4430 11
-0.4457 0.9683 0.1368 -0.4464 8
-0.4397 0.9688 0.1413 -0.4411 8
-0.4257 0.9715 0.1361 -0.4221 8
-0.4454 0.9688 0.1352 -0.4162 9
-0.4516 0.9691 0.1412 -0.4242 10
-0.4660 0.9673 0.1392 -0.4414 9
-0.4598 0.9671 0.1398 -0.4033 10
-0.4442 0.9676 0.1407 -0.4095 12
-0.4520 0.9720 0.1319 -0.3984 11
-0.4539 0.9678 0.1356 -0.3939 9
-0.4347 0.9690 0.1330 -0.3739 11
-0.4296 0.9702 0.1365 -0.3859 9
-0.3906 0.9672 0.1408 -0.3772 9
-0.4165 0.9677 0.1443 -0.3492 9
-0.4434 0.9648 0.1430 -0.3646 9
-0.4303 0.9648 0.1518 -0.3954 11
-0.4326 0.9640 0.1476 -0.3616 11
-0.4263 0.9644 0.1477 -0.3497 11
-0.4261 0.9644 0.1410 -0.3649 10
-0.4196 0.9657 0.1443 -0.3858 14
-0.4161 0.9651 0.1418 -0.3606 15
-0.4254 0.9669 0.1403 -0.3603 13
-0.4330 0.9663 0.1417 -0.3315 9
-0.4560 0.9663 0.1407 -0.3036 9
-0.4357 0.9651 0.1391 -0.3010 11
-0.4408 0.9664 0.1405 -0.3007 11
-0.4256 0.9662 0.1362 -0.3013 11
-0.4118 0.9652 0.1403 -0.2480 13
-0.4256 0.9658 0.1392 -0.3084 10
-0.4389 0.9657 0.1389 -0.3094 12
-0.4433 0.9655 0.1407 -0.3113 9
-0.4234 0.9673 0.1362 -0.3341 9
-0.4169 0.9672 0.1345 -0.3164 9
-0.4425 0.9679 0.1306 -0.2815 10
-0.4298 0.9723 0.1272 -0.2238 11
-0.4421 0.9685 0.1290 -0.2375 11
-0.4278 0.9680 0.1297 -0.2647 11
-0.4454 0.9720 0.1299 -0.2841 8
-0.4347 0.9727 0.1322 -0.3185 8
-0.4130 0.9681 0.1331 -0.2991 10
-0.4330 0.9664 0.1372 -0.2774 8
-0.4270 0.9668 0.1509 -0.3499 12
-0.4085 0.9638 0.1487 -0.3554 8
-0.4212 0.9644 0.1507 -0.4020 9
-0.3989 0.9657 0.1494 -0.4049 8
-0.4192 0.9647 0.1487 -0.4166 9
-0.4266 0.9664 0.1494 -0.3956 8
-0.4227 0.9652 0.1474 -0.4174 14
-0.4007 0.9673 0.1441 -0.3792 9
-0.3893 0.9680 0.1400 -0.3665 12
-0.4058 0.9691 0.1382 -0.3813 9
-0.4236 0.9739 0.1347 -0.3565 11
-0.3899 0.9696 0.1335 -0.3531 10
-0.3742 0.9691 0.1348 -0.3827 9
-0.4090 0.9731 0.1335 -0.3838 10
-0.4083 0.9714 0.1301 -0.3585 11
-0.4016 0.9726 0.1294 -0.3528 13
-0.4015 0.9747 0.1286 -0.3813 10
-0.4125 0.9720 0.1297 -0.4060 10
-0.4031 0.9722 0.1352 -0.3911 10
-0.3937 0.9758 0.1314 -0.4187 10
-0.4041 0.9724 0.1299 -0.4080 11
-0.4041 0.9751 0.1271 -0.4444 10
-0.3779 0.9758 0.1297 -0.4198 10
-0.3844 0.9725 0.1329 -0.3721 9
-0.3957 0.9715 0.1298 -0.4184 10
-0.3784 0.9765 0.1384 -0.4033 12
-0.3960 0.9708 0.1334 -0.3584 11
-0.3816 0.9739 0.1389 -0.3163 10
-0.3599 0.9721 0.1427 -0.2976 9
-0.3649 0.9719 0.1419 -0.3131 8
-0.3760 0.9733 0.1343 -0.3051 14
-0.3603 0.9756 0.1264 -0.3331 12
-0.3873 0.9746 0.1321 -0.3124 15
-0.3803 0.9732 0.1332 -0.3546 14
-0.3803 0.9712 0.1369 -0.3160 10
-0.3877 0.9724 0.1359 -0.2841 11
-0.3734 0.9737 0.1347 -0.2851 11
-0.3630 0.9692 0.1315 -0.2717 10
-0.3712 0.9707 0.1312 -0.3350 13
-0.3802 0.9730 0.1368 -0.3056 12
-0.3908 0.9692 0.1352 -0.3197 12
-0.3834 0.9727 0.1390 -0.3031 10
-0.3744 0.9745 0.1306 -0.3352 12
-0.4005 0.9751 0.1314 -0.3464 10
-0.3771 0.9708 0.1367 -0.3212 16
-0.3464 0.9678 0.1413 -0.3496 15
-0.3491 0.9680 0.1460 -0.3499 15
-0.3441 0.9708 0.1446 -0.3424 10
-0.3487 0.9691 0.1441 -0.3203 11
-0.3682 0.9720 0.1402 -0.3413 13
-0.3431 0.9680 0.1422 -0.3442 13
-0.3362 0.9671 0.1443 -0.3480 13
-0.3744 0.9714 0.1419 -0.3448 12
-0.3640 0.9718 0.1456 -0.3288 10
-0.3619 0.9686 0.1443 -0.2877 11
-0.3722 0.9683 0.1399 -0.3009 14
-0.3685 0.9696 0.1384 -0.2896 10
-0.3638 0.9751 0.1383 -0.3122 11
-0.3531 0.9762 0.1388 -0.2787 10
-0.3773 0.9731 0.1359 -0.2798 11
-0.3680 0.9757 0.1399 -0.3369 15
-0.4039 0.9731 0.1428 -0.3138 11
-0.3830 0.9705 0.1416 -0.3316 13
-0.3798 0.9751 0.1386 -0.3111 10
-0.3532 0.9745 0.1418 -0.3435 12
-0.3597 0.9679 0.1415 -0.3179 13
-0.3780 0.9747 0.1379 -0.3153 10
-0.3993 0.9701 0.1429 -0.3680 14
-0.3805 0.9742 0.1410 -0.3893 10
-0.3657 0.9745 0.1391 -0.4445 11
-0.3810 0.9714 0.1405 -0.4226 11
-0.3839 0.9707 0.1405 -0.3910 15
-0.3909 0.9684 0.1429 -0.3852 11
-0.3734 0.9705 0.1425 -0.3202 13
-0.3697 0.9679 0.1440 -0.3339 12
-0.3843 0.9681 0.1459 -0.3580 16
-0.3915 0.9722 0.1452 -0.3624 13
-0.3785 0.9679 0.1481 -0.3987 12
-0.3805 0.9678 0.1489 -0.4512 12
-0.4053 0.9724 0.1509 -0.4405 12
-0.3782 0.9722 0.1475 -0.4462 11
-0.3551 0.9732 0.1416 -0.3821 9
-0.3606 0.9712 0.1406 -0.3637 13
-0.3968 0.9706 0.1396 -0.3596 9
-0.3848 0.9712 0.1402 -0.3663 17
-0.3574 0.9709 0.1399 -0.3842 12
-0.3853 0.9741 0.1407 -0.3611 15
-0.4079 0.9722 0.1410 -0.4176 15
-0.3647 0.9714 0.1440 -0.3664 14
-0.3901 0.9757 0.1389 -0.3695 19
-0.3877 0.9712 0.1441 -0.3675 13
-0.4085 0.9705 0.1425 -0.3826 21
-0.3734 0.9688 0.1437 -0.3799 19
-0.3677 0.9732 0.1433 -0.3960 12
-0.3754 0.9773 0.1388 -0.3877 14
-0.3779 0.9756 0.1409 -0.4031 12
-0.3653 0.9775 0.1421 -0.4266 10
-0.3888 0.9773 0.1429 -0.4527 13
-0.3902 0.9734 0.1470 -0.4455 14
-0.3790 0.9755 0.1498 -0.5249 14
-0.3754 0.9781 0.1456 -0.5367 11
-0.3913 0.9787 0.1478 -0.5638 14
-0.4242 0.9789 0.1473 -0.5497 14
-0.4044 0.9763 0.1445 -0.5174 14
-0.4011 0.9779 0.1445 -0.5226 13
-0.3912 0.9758 0.1476 -0.5654 13
-0.3803 0.9737 0.1476 -0.5532 14
-0.3797 0.9780 0.1460 -0.5506 15
-0.4078 0.9742 0.1464 -0.5431 11
-0.3663 0.9741 0.1389 -0.5256 11
-0.3791 0.9787 0.1408 -0.5034 18
-0.3609 0.9772 0.1403 -0.5151 11
-0.3785 0.9789 0.1457 -0.5352 15
-0.3821 0.9746 0.1468 -0.4978 14
-0.3917 0.9773 0.1430 -0.4844 13
-0.3826 0.9744 0.1443 -0.4756 13
-0.3752 0.9733 0.1444 -0.4962 19
-0.3904 0.9779 0.1457 -0.5020 13
-0.3965 0.9747 0.1439 -0.4790 13
-0.3640 0.9778 0.1441 -0.4785 17
-0.4370 0.9761 0.1451 -0.5046 13
-0.3823 0.9782 0.1421 -0.4779 11
-0.4021 0.9756 0.1465 -0.5210 14
-0.4009 0.9752 0.1428 -0.4952 11
-0.4035 0.9778 0.1442 -0.4714 13
-0.3702 0.9726 0.1468 -0.4638 14
-0.3716 0.9763 0.1412 -0.4412 11
-0.3658 0.9757 0.1435 -0.4567 12
-0.3718 0.9766 0.1372 -0.4654 17
-0.3780 0.9779 0.1424 -0.4946 14
-0.3871 0.9719 0.1461 -0.4704 13
-0.3994 0.9771 0.1469 -0.4903 14
-0.3729 0.9745 0.1522 -0.4752 10
-0.3889 0.9731 0.1524 -0.4598 13
-0.3753 0.9729 0.1584 -0.4545 14
-0.3791 0.9723 0.1568 -0.4546 12
-0.3850 0.9708 0.1621 -0.4480 11
-0.3975 0.9705 0.1586 -0.4905 12
-0.3952 0.9702 0.1603 -0.4533 15
-0.4164 0.9684 0.1619 -0.4171 13
-0.3699 0.9680 0.1586 -0.3862 18
-0.3638 0.9654 0.1597 -0.3541 12
-0.3783 0.9645 0.1584 -0.3267 12
-0.3812 0.9705 0.1590 -0.3669 13
-0.3815 0.9673 0.1517 -0.3548 11
-0.3803 0.9668 0.1594 -0.3656 13
-0.3682 0.9647 0.1586 -0.3538 9
-0.3796 0.9708 0.1572 -0.3441 12
-0.3625 0.9664 0.1575 -0.3209 16
-0.3509 0.9702 0.1549 -0.3310 12
-0.3417 0.9673 0.1584 -0.3075 12
-0.3819 0.9706 0.1586 -0.3285 13
-0.3530 0.9665 0.1535 -0.3126 17
-0.3719 0.9666 0.1508 -0.3124 13
-0.3610 0.9665 0.1565 -0.3231 13
-0.3616 0.9678 0.1571 -0.3495 16
-0.3644 0.9655 0.1635 -0.3590 15
-0.3757 0.9657 0.1655 -0.3294 14
-0.3834 0.9634 0.1652 -0.3167 11
-0.3726 0.9635 0.1628 -0.2874 11
-0.3703 0.9632 0.1665 -0.3573 12
-0.3691 0.9644 0.1658 -0.4026 11
-0.3901 0.9638 0.1651 -0.4131 10
-0.3991 0.9648 0.1628 -0.3798 11
-0.3536 0.9638 0.1696 -0.3897 15
-0.3788 0.9686 0.1702 -0.3672 11
-0.3710 0.9638 0.1646 -0.3458 10
-0.3803 0.9638 0.1641 -0.3573 12
-0.3756 0.9634 0.1598 -0.3499 14
-0.3746 0.9695 0.1588 -0.3750 12
-0.3760 0.9673 0.1481 -0.3482 9
-0.3676 0.9728 0.1485 -0.3601 15
-0.3741 0.9692 0.1510 -0.3689 13
-0.3690 0.9675 0.1494 -0.3342 12
-0.3671 0.9719 0.1459 -0.3188 13
-0.3608 0.9692 0.1449 -0.3522 11
-0.3381 0.9696 0.1558 -0.4079 14
-0.3615 0.9717 0.1545 -0.3815 12
-0.3554 0.9675 0.1541 -0.3842 16
-0.3672 0.9668 0.1558 -0.3422 16
-0.3407 0.9732 0.1542 -0.3620 17
-0.3625 0.9725 0.1527 -0.3977 16
-0.3465 0.9705 0.1498 -0.3471 15
-0.3739 0.9712 0.1500 -0.3444 10
-0.3524 0.9745 0.1539 -0.3736 8
-0.3280 0.9748 0.1526 -0.3652 10
-0.3520 0.9745 0.1506 -0.3956 14
-0.3519 0.9747 0.1476 -0.3354 15
-0.3481 0.9748 0.1491 -0.3678 17
-0.3394 0.9705 0.1467 -0.3340 14
-0.3592 0.9731 0.1496 -0.3119 12
-0.3404 0.9752 0.1475 -0.3050 14
-0.3727 0.9702 0.1433 -0.3064 14
-0.3640 0.9749 0.1419 -0.2945 12
-0.3620 0.9762 0.1364 -0.3402 13
-0.3792 0.9722 0.1383 -0.3826 12
-0.3544 0.9762 0.1403 -0.3551 15
-0.3494 0.9754 0.1401 -0.3487 11
-0.3540 0.9743 0.1410 -0.3368 11
-0.3470 0.9709 0.1427 -0.2913 11
-0.3542 0.9712 0.1395 -0.2506 10
-0.3515 0.9759 0.1365 -0.2412 16
-0.3371 0.9753 0.1349 -0.2742 10
-0.3362 0.9726 0.1395 -0.2531 15
-0.3398 0.9705 0.1383 -0.2843 11
-0.3466 0.9721 0.1383 -0.3183 16
-0.3305 0.9771 0.1348 -0.3018 12
-0.3139 0.9749 0.1340 -0.3309 11
-0.3222 0.9732 0.1369 -0.2996 16
-0.3339 0.9727 0.1401 -0.3170 12
-0.3330 0.9721 0.1418 -0.2996 15
-0.3519 0.9747 0.1442 -0.3152 18
-0.3177 0.9730 0.1442 -0.2967 17
-0.3473 0.9677 0.1447 -0.3115 16
-0.3180 0.9712 0.1415 -0.3218 19
-0.3072 0.9714 0.1394 -0.2739 12
-0.3343 0.9750 0.1417 -0.2755 19
-0.3192 0.9730 0.1409 -0.2772 10
-0.3413 0.9730 0.1386 -0.2418 20
-0.3393 0.9742 0.1342 -0.1935 16
-0.3091 0.9719 0.1344 -0.2262 12
-0.3089 0.9752 0.1390 -0.1915 20
-0.3083 0.9762 0.1336 -0.2158 15
-0.3434 0.9726 0.1343 -0.2342 16
-0.3302 0.9719 0.1431 -0.2873 15
-0.3325 0.9755 0.1396 -0.2682 13
-0.3302 0.9749 0.1445 -0.2678 15
-0.3345 0.9719 0.1496 -0.2767 13
-0.3360 0.9686 0.1508 -0.3117 21
-0.3683 0.9716 0.1478 -0.2642 13
-0.3735 0.9685 0.1445 -0.2386 13
-0.3634 0.9716 0.1457 -0.2470 8
-0.3489 0.9733 0.1399 -0.2110 21
-0.3448 0.9757 0.1362 -0.1841 17
-0.3600 0.9715 0.1388 -0.1829 24
-0.3721 0.9753 0.1402 -0.2492 10
-0.3212 0.9683 0.1429 -0.2233 12
-0.3676 0.9739 0.1407 -0.2725 10
-0.3704 0.9716 0.1430 -0.2944 14
-0.3744 0.9712 0.1492 -0.2943 15
-0.3948 0.9748 0.1408 -0.3132 10
-0.3962 0.9737 0.1395 -0.2899 12
-0.4054 0.9763 0.1401 -0.3112 12
-0.3705 0.9758 0.1424 -0.3182 12
-0.3800 0.9755 0.1425 -0.2697 10
-0.3616 0.9709 0.1449 -0.2916 12
-0.3838 0.9702 0.1411 -0.2717 12
-0.3875 0.9732 0.1386 -0.2846 11
-0.3685 0.9713 0.1374 -0.2743 10
-0.3998 0.9761 0.1411 -0.2547 11
-0.3957 0.9754 0.1375 -0.2596 10
-0.3880 0.9754 0.1379 -0.2829 14
-0.3776 0.9719 0.1385 -0.2841 9
-0.3960 0.9767 0.1427 -0.2786 10
-0.3878 0.9737 0.1421 -0.3215 12
-0.3773 0.9728 0.1414 -0.2687 12
-0.4076 0.9741 0.1426 -0.3058 13
-0.4116 0.9702 0.1425 -0.3047 11
-0.3748 0.9760 0.1435 -0.2700 12
-0.3978 0.9750 0.1477 -0.2499 10
-0.3711 0.9739 0.1433 -0.2381 13
-0.3793 0.9705 0.1477 -0.2879 11
-0.3838 0.9697 0.1491 -0.2935 9
-0.3938 0.9748 0.1488 -0.3193 11
-0.4049 0.9706 0.1474 -0.2940 12
-0.4118 0.9707 0.1430 -0.2799 10
-0.3757 0.9702 0.1463 -0.2817 8
-0.3696 0.9755 0.1410 -0.3305 11
-0.3801 0.9764 0.1452 -0.3324 13
-0.3917 0.9735 0.1421 -0.3299 11
-0.3609 0.9754 0.1404 -0.3237 12
-0.3656 0.9744 0.1360 -0.3161 10
-0.3746 0.9752 0.1326 -0.2661 13
-0.3863 0.9734 0.1376 -0.2499 13
-0.3621 0.9741 0.1373 -0.2613 9
-0.3491 0.9761 0.1378 -0.2563 9
-0.3697 0.9761 0.1411 -0.2582 9
-0.3624 0.9754 0.1403 -0.2206 16
-0.3654 0.9745 0.1389 -0.1711 15
-0.3658 0.9756 0.1397 -0.1428 11
-0.3631 0.9754 0.1403 -0.1102 11
-0.3512 0.9758 0.1459 -0.1300 10
-0.3658 0.9692 0.1482 -0.1712 12
-0.3715 0.9686 0.1470 -0.1378 12
-0.3725 0.9686 0.1506 -0.1659 10
-0.3847 0.9705 0.1528 -0.1788 10
-0.3913 0.9654 0.1565 -0.1560 12
-0.3823 0.9670 0.1510 -0.1956 14
-0.3573 0.9660 0.1596 -0.2313 11
-0.3555 0.9693 0.1595 -0.2071 13
-0.3709 0.9689 0.1636 -0.1662 13
-0.3810 0.9639 0.1611 -0.1761 12
-0.3905 0.9644 0.1605 -0.2087 15
-0.3623 0.9651 0.1629 -0.1322 12
-0.3632 0.9698 0.1598 -0.1596 14
-0.3796 0.9677 0.1616 -0.1913 13
-0.3747 0.9659 0.1655 -0.1708 12
-0.3683 0.9649 0.1665 -0.1646 15
-0.3743 0.9654 0.1720 -0.2074 14
-0.3828 0.9633 0.1705 -0.2450 24
-0.3904 0.9632 0.1694 -0.2904 15
-0.3808 0.9638 0.1749 -0.3167 17
-0.3687 0.9642 0.1671 -0.2956 11
-0.3695 0.9656 0.1639 -0.2763 11
-0.3819 0.9645 0.1649 -0.2770 12
-0.3780 0.9645 0.1654 -0.3062 13
-0.3703 0.9647 0.1644 -0.3081 11
-0.3796 0.9642 0.1649 -0.2939 9
-0.3949 0.9651 0.1661 -0.2728 13
-0.3787 0.9694 0.1646 -0.3135 9
-0.3648 0.9655 0.1624 -0.3321 10
-0.4003 0.9664 0.1636 -0.2757 13
-0.3800 0.9638 0.1661 -0.3406 11
-0.4081 0.9645 0.1679 -0.3539 15
-0.3734 0.9654 0.1696 -0.3436 15
-0.3859 0.9689 0.1687 -0.3436 14
-0.4208 0.9652 0.1689 -0.3916 12
-0.4155 0.9649 0.1750 -0.3518 11
-0.3975 0.9640 0.1705 -0.3395 15
-0.3708 0.9639 0.1735 -0.3106 12
-0.3965 0.9644 0.1666 -0.3167 10
-0.3886 0.9663 0.1668 -0.3567 10
-0.4064 0.9655 0.1688 -0.3718 12
-0.3923 0.9723 0.1641 -0.3721 13
-0.4207 0.9685 0.1673 -0.3957 12
-0.3855 0.9664 0.1682 -0.3852 10
-0.4049 0.9686 0.1658 -0.3802 12
-0.4060 0.9691 0.1621 -0.3778 12
-0.3922 0.9724 0.1630 -0.3476 10
-0.4102 0.9726 0.1656 -0.3564 10
-0.4153 0.9696 0.1682 -0.3329 12
-0.4293 0.9665 0.1715 -0.3617 13
-0.4193 0.9683 0.1721 -0.3311 12
-0.4026 0.9711 0.1726 -0.3169 19
-0.4364 0.9663 0.1736 -0.3484 10
-0.4010 0.9651 0.1863 -0.3650 11
-0.3972 0.9638 0.1862 -0.3738 10
-0.4157 0.9651 0.1847 -0.3932 10
-0.4327 0.9648 0.1858 -0.4065 10
-0.4442 0.9638 0.1806 -0.4065 13
-0.4201 0.9660 0.1798 -0.3865 13
-0.4102 0.9644 0.1794 -0.4133 13
-0.4484 0.9649 0.1831 -0.3513 15
-0.4127 0.9651 0.1837 -0.3449 23
-0.4356 0.9631 0.1837 -0.3302 15
-0.4054 0.9648 0.1825 -0.3551 9
-0.4199 0.9652 0.1868 -0.3574 13
-0.4153 0.9635 0.1975 -0.3162 11
-0.4158 0.9612 0.1904 -0.2851 13
-0.4144 0.9583 0.1975 -0.3204 16
-0.4440 0.9621 0.1884 -0.3040 13
-0.4195 0.9638 0.1930 -0.3366 14
-0.4211 0.9624 0.1900 -0.3285 25
-0.3991 0.9644 0.1834 -0.3008 18
-0.4097 0.9651 0.1870 -0.2865 14
-0.4181 0.9644 0.1913 -0.3104 18
-0.4090 0.9642 0.1895 -0.3199 12
-0.4050 0.9648 0.1849 -0.2972 16
-0.4138 0.9648 0.1785 -0.2510 13
-0.4152 0.9680 0.1694 -0.2186 16
-0.4089 0.9733 0.1653 -0.2073 16
-0.4233 0.9707 0.1643 -0.1862 15
-0.4075 0.9707 0.1648 -0.1814 18
-0.4005 0.9721 0.1697 -0.1250 13
-0.4157 0.9712 0.1663 -0.1743 12
-0.4096 0.9712 0.1659 -0.1155 11
-0.4226 0.9686 0.1608 -0.1420 10
-0.4014 0.9682 0.1638 -0.1403 11
-0.4287 0.9692 0.1591 -0.1764 11
-0.4179 0.9752 0.1588 -0.2153 15
-0.4193 0.9716 0.1602 -0.2803 10
-0.4151 0.9750 0.1589 -0.2725 12
-0.4267 0.9765 0.1627 -0.2550 11
-0.4422 0.9765 0.1565 -0.3125 10
-0.4562 0.9757 0.1584 -0.2905 10
-0.4131 0.9744 0.1491 -0.3199 11
-0.4540 0.9770 0.1528 -0.3058 12
-0.4196 0.9779 0.1479 -0.3152 10
-0.3742 0.9711 0.1530 -0.3454 11
-0.4170 0.9780 0.1494 -0.3794 13
-0.3942 0.9771 0.1512 -0.3128 9
-0.4010 0.9765 0.1544 -0.3474 10
-0.4336 0.9769 0.1508 -0.3095 10
-0.4228 0.9772 0.1469 -0.2736 10
-0.4136 0.9734 0.1472 -0.2743 13
-0.4041 0.9719 0.1540 -0.2492 12
-0.4278 0.9719 0.1523 -0.2589 10
-0.4134 0.9750 0.1531 -0.2825 10
-0.4325 0.9693 0.1578 -0.3115 11
-0.4065 0.9692 0.1577 -0.3153 13
-0.4331 0.9702 0.1568 -0.3209 10
-0.4108 0.9730 0.1611 -0.3015 11
-0.4007 0.9722 0.1627 -0.3143 10
-0.4365 0.9686 0.1656 -0.2886 10
-0.4095 0.9712 0.1617 -0.3119 11
-0.4358 0.9723 0.1575 -0.3172 12
-0.4258 0.9688 0.1659 -0.3230 12
-0.4117 0.9718 0.1674 -0.3593 13
-0.4078 0.9683 0.1689 -0.3345 10
-0.4145 0.9671 0.1695 -0.3216 15
-0.4073 0.9669 0.1631 -0.3124 15
-0.4056 0.9681 0.1706 -0.3367 11
-0.4277 0.9684 0.1685 -0.3398 13
-0.4266 0.9723 0.1714 -0.3605 13
-0.4080 0.9719 0.1640 -0.3505 13
-0.4064 0.9731 0.1671 -0.3570 11
-0.4166 0.9705 0.1619 -0.3046 15
-0.3912 0.9746 0.1626 -0.3202 10
-0.4121 0.9760 0.1578 -0.3100 11
-0.3761 0.9749 0.1601 -0.3388 9
-0.4048 0.9719 0.1615 -0.2807 13
-0.4136 0.9743 0.1584 -0.2490 11
-0.4405 0.9732 0.1637 -0.2936 10
-0.4313 0.9700 0.1618 -0.2660 10
-0.4192 0.9746 0.1619 -0.2386 9
-0.4135 0.9760 0.1536 -0.2296 10
-0.4174 0.9768 0.1560 -0.2381 12
-0.4381 0.9752 0.1600 -0.2489 13
-0.3950 0.9702 0.1610 -0.2240 12
-0.4058 0.9698 0.1609 -0.2686 12
-0.3936 0.9733 0.1676 -0.2888 9
-0.3863 0.9692 0.1652 -0.2559 10
-0.3921 0.9723 0.1649 -0.2269 12
-0.3730 0.9739 0.1663 -0.2131 14
-0.3895 0.9705 0.1632 -0.2491 10
-0.4114 0.9732 0.1652 -0.2540 15
-0.3962 0.9701 0.1664 -0.2514 15
-0.3931 0.9701 0.1649 -0.2422 10
-0.3770 0.9723 0.1657 -0.2193 12
-0.3788 0.9723 0.1677 -0.2210 12
-0.3703 0.9673 0.1726 -0.2090 14
-0.3906 0.9673 0.1700 -0.2682 13
-0.3902 0.9662 0.1716 -0.3051 10
-0.4193 0.9714 0.1751 -0.2728 11
-0.4386 0.9647 0.1774 -0.2582 10
-0.3952 0.9654 0.1757 -0.2592 8
-0.3969 0.9652 0.1766 -0.2954 11
-0.3974 0.9642 0.1727 -0.2481 13
-0.4036 0.9694 0.1750 -0.2704 10
-0.3970 0.9655 0.1696 -0.2652 9
-0.4071 0.9666 0.1675 -0.2239 10
-0.3905 0.9661 0.1710 -0.1911 11
-0.4223 0.9658 0.1746 -0.1955 12
-0.4233 0.9647 0.1786 -0.1764 13
-0.4187 0.9654 0.1764 -0.1906 11
-0.4219 0.9644 0.1827 -0.1809 11
-0.3955 0.9645 0.1801 -0.1770 12
-0.4371 0.9632 0.1803 -0.2005 11
-0.4115 0.9639 0.1723 -0.1885 11
-0.4077 0.9651 0.1628 -0.1477 9
-0.4020 0.9664 0.1727 -0.1449 10
-0.3963 0.9654 0.1761 -0.2089 14
-0.3982 0.9648 0.1794 -0.1796 16
-0.3837 0.9692 0.1753 -0.2004 14
-0.3848 0.9648 0.1771 -0.2376 12
-0.3843 0.9651 0.1815 -0.1935 11
-0.3791 0.9654 0.1800 -0.2229 10
-0.3700 0.9661 0.1825 -0.3056 11
-0.3940 0.9705 0.1783 -0.2997 12
-0.3968 0.9714 0.1756 -0.3197 16
-0.3865 0.9670 0.1803 -0.3246 8
-0.3871 0.9708 0.1826 -0.2800 15
-0.3873 0.9654 0.1774 -0.3190 11
-0.3853 0.9709 0.1744 -0.2521 13
-0.3831 0.9663 0.1772 -0.2855 11
-0.3966 0.9652 0.1804 -0.3001 12
-0.3727 0.9652 0.1785 -0.2723 15
-0.3752 0.9647 0.1754 -0.2916 13
-0.4045 0.9661 0.1643 -0.2668 16
-0.3888 0.9675 0.1784 -0.2669 21
-0.4141 0.9695 0.1747 -0.2904 13
-0.3981 0.9703 0.1748 -0.2632 15
-0.3832 0.9710 0.1721 -0.2965 14
-0.3868 0.9712 0.1729 -0.3241 14
-0.3791 0.9673 0.1788 -0.3141 16
-0.3760 0.9651 0.1802 -0.2563 13
-0.3763 0.9698 0.1735 -0.2454 19
-0.3909 0.9696 0.1748 -0.2538 16
-0.3697 0.9701 0.1743 -0.2466 11
-0.4088 0.9706 0.1744 -0.2125 15
-0.3907 0.9704 0.1732 -0.1808 18
-0.3796 0.9654 0.1772 -0.1873 9
-0.3905 0.9635 0.1846 -0.1712 14
-0.3967 0.9622 0.1814 -0.1303 14
-0.4040 0.9635 0.1800 -0.1931 12
-0.3875 0.9632 0.1831 -0.2131 16
-0.3836 0.9621 0.1778 -0.2326 13
-0.3799 0.9648 0.1828 -0.2252 12
-0.3877 0.9621 0.1844 -0.2124 42
-0.3930 0.9644 0.1806 -0.2160 10
-0.3700 0.9639 0.1814 -0.2103 19
-0.3694 0.9698 0.1786 -0.2500 13
-0.3598 0.9654 0.1831 -0.2544 12
-0.3563 0.9649 0.1887 -0.2910 13
-0.3402 0.9633 0.1892 -0.2367 15
-0.3478 0.9638 0.1858 -0.2126 13
-0.3519 0.9647 0.1854 -0.2173 14
-0.3554 0.9689 0.1814 -0.1323 12
-0.3470 0.9654 0.1810 -0.1623 14
-0.3484 0.9655 0.1833 -0.2113 16
-0.3775 0.9644 0.1818 -0.2637 22
-0.3632 0.9700 0.1790 -0.2359 15
-0.3389 0.9654 0.1804 -0.2092 18
-0.3666 0.9647 0.1803 -0.2014 19
-0.3493 0.9689 0.1758 -0.2213 18
-0.3560 0.9652 0.1782 -0.2309 12
-0.3558 0.9645 0.1763 -0.2420 13
-0.3470 0.9663 0.1763 -0.2556 14
-0.3566 0.9652 0.1788 -0.2476 10
-0.3797 0.9652 0.1807 -0.2995 14
-0.3553 0.9699 0.1755 -0.3304 15
-0.3605 0.9657 0.1812 -0.3105 13
-0.3664 0.9647 0.1794 -0.3633 17
-0.3642 0.9655 0.1746 -0.3443 14
-0.3695 0.9711 0.1702 -0.3417 14
-0.3757 0.9659 0.1727 -0.3253 14
-0.3591 0.9706 0.1762 -0.3786 15
-0.3414 0.9658 0.1716 -0.3863 13
-0.3454 0.9675 0.1768 -0.3531 13
-0.3512 0.9666 0.1817 -0.3532 13
-0.3596 0.9651 0.1786 -0.3386 11
-0.3611 0.9669 0.1757 -0.3770 16
-0.3460 0.9686 0.1717 -0.3477 23
-0.3637 0.9719 0.1710 -0.3185 12
-0.3684 0.9692 0.1661 -0.3514 12
-0.3672 0.9748 0.1624 -0.3465 11
-0.3356 0.9739 0.1630 -0.2905 14
-0.3558 0.9744 0.1615 -0.3477 13
-0.3554 0.9712 0.1585 -0.3375 10
-0.3429 0.9704 0.1691 -0.3257 13
-0.3668 0.9699 0.1687 -0.3081 14
-0.3633 0.9738 0.1633 -0.3166 14
