mu phi sigma rho nu
-0.4077 0.9780 0.1204 -0.1957 9
-0.4531 0.9825 0.1186 -0.1920 8
-0.4597 0.9808 0.1153 -0.1987 9
-0.4232 0.9835 0.1133 -0.2087 11
-0.4609 0.9804 0.1160 -0.2431 11
-0.4369 0.9835 0.1207 -0.2477 11
-0.4686 0.9787 0.1214 -0.2604 9
-0.3933 0.9809 0.1255 -0.2420 10
-0.4286 0.9820 0.1217 -0.2591 11
-0.4270 0.9789 0.1231 -0.2332 10
-0.4400 0.9820 0.1202 -0.2255 13
-0.4294 0.9801 0.1170 -0.1695 10
-0.4371 0.9801 0.1146 -0.1633 8
-0.4301 0.9808 0.1110 -0.2062 8
-0.4131 0.9805 0.1140 -0.1809 10
-0.4254 0.9832 0.1137 -0.1641 9
-0.4287 0.9796 0.1175 -0.1868 8
-0.4439 0.9783 0.1178 -0.1625 8
-0.4245 0.9787 0.1164 -0.1502 9
-0.4248 0.9783 0.1190 -0.1246 8
-0.4394 0.9819 0.1211 -0.1463 8
-0.3938 0.9763 0.1217 -0.1977 10
-0.4226 0.9796 0.1240 -0.1959 9
-0.4444 0.9762 0.1229 -0.1764 14
-0.4025 0.9778 0.1184 -0.1728 8
-0.4103 0.9781 0.1228 -0.1560 9
-0.4048 0.9796 0.1267 -0.1897 9
-0.3999 0.9769 0.1243 -0.1636 10
-0.4103 0.9815 0.1192 -0.1707 12
-0.4058 0.9780 0.1202 -0.2110 8
-0.4347 0.9777 0.1179 -0.1865 10
-0.4085 0.9804 0.1207 -0.2164 9
-0.4087 0.9775 0.1186 -0.2082 8
-0.4002 0.9781 0.1203 -0.2379 11
-0.4387 0.9770 0.1202 -0.2327 11
-0.4166 0.9775 0.1241 -0.1910 8
-0.4448 0.9783 0.1259 -0.2278 9
-0.4145 0.9760 0.1231 -0.2472 10
-0.4151 0.9772 0.1247 -0.2172 8
-0.4216 0.9763 0.1273 -0.2898 9
-0.4007 0.9768 0.1253 -0.2547 10
-0.4132 0.9771 0.1248 -0.2366 9
-0.4021 0.9774 0.1269 -0.2372 13
-0.3975 0.9772 0.1251 -0.2541 11
-0.3878 0.9794 0.1258 -0.2169 11
-0.3934 0.9774 0.1243 -0.2276 11
-0.3636 0.9783 0.1228 -0.2228 10
-0.3893 0.9822 0.1185 -0.2778 10
-0.3320 0.9832 0.1186 -0.2587 11
-0.3642 0.9841 0.1161 -0.2752 9
-0.3645 0.9848 0.1139 -0.2773 10
-0.3738 0.9850 0.1159 -0.2847 11
-0.3713 0.9851 0.1151 -0.2530 12
-0.3353 0.9844 0.1121 -0.2734 12
-0.3636 0.9813 0.1140 -0.3173 12
-0.3717 0.9856 0.1150 -0.2763 12
-0.3725 0.9846 0.1171 -0.2498 11
-0.3697 0.9850 0.1177 -0.2566 11
-0.3656 0.9845 0.1158 -0.2543 11
-0.3768 0.9844 0.1175 -0.2229 8
-0.4051 0.9844 0.1188 -0.2703 16
-0.3871 0.9847 0.1170 -0.2749 13
-0.3590 0.9816 0.1217 -0.3597 13
-0.4094 0.9841 0.1157 -0.3445 12
-0.3900 0.9849 0.1185 -0.3408 11
-0.3709 0.9846 0.1164 -0.3516 12
-0.4241 0.9846 0.1166 -0.3764 11
-0.4092 0.9817 0.1186 -0.3909 9
-0.3963 0.9835 0.1258 -0.4258 11
-0.3839 0.9812 0.1240 -0.4330 10
-0.3892 0.9851 0.1222 -0.4553 12
-0.4202 0.9819 0.1235 -0.4815 10
-0.3826 0.9864 0.1221 -0.4707 10
-0.4420 0.9840 0.1230 -0.4730 11
-0.4102 0.9819 0.1224 -0.4605 10
-0.4317 0.9805 0.1235 -0.4506 17
-0.4720 0.9784 0.1206 -0.4028 11
-0.3845 0.9804 0.1318 -0.3492 9
-0.4008 0.9788 0.1290 -0.4204 9
-0.4108 0.9787 0.1288 -0.4502 13
-0.4230 0.9787 0.1306 -0.4167 14
-0.4569 0.9774 0.1291 -0.4127 13
-0.4150 0.9805 0.1308 -0.3383 11
-0.3948 0.9795 0.1373 -0.3718 8
-0.4011 0.9750 0.1412 -0.3869 13
-0.4155 0.9750 0.1400 -0.3923 10
-0.4005 0.9754 0.1318 -0.3722 12
-0.3897 0.9765 0.1336 -0.3623 11
-0.4181 0.9773 0.1325 -0.3726 9
-0.3843 0.9774 0.1305 -0.3768 15
-0.3866 0.9773 0.1296 -0.3990 12
-0.3976 0.9787 0.1316 -0.3810 13
-0.3849 0.9794 0.1266 -0.3787 10
-0.3734 0.9797 0.1303 -0.4196 9
-0.4086 0.9804 0.1285 -0.4511 10
-0.3891 0.9792 0.1265 -0.4465 11
-0.3812 0.9808 0.1289 -0.4889 10
-0.3839 0.9842 0.1289 -0.4790 14
-0.3808 0.9799 0.1259 -0.4304 13
-0.3480 0.9791 0.1234 -0.4144 13
-0.3791 0.9797 0.1229 -0.4104 11
-0.3776 0.9794 0.1245 -0.4085 11
-0.3826 0.9791 0.1284 -0.4069 10
-0.3682 0.9804 0.1304 -0.4116 15
-0.3814 0.9782 0.1341 -0.3774 11
-0.3661 0.9774 0.1272 -0.4183 9
-0.3423 0.9787 0.1304 -0.3587 10
-0.3773 0.9779 0.1351 -0.3688 13
-0.3564 0.9767 0.1322 -0.3890 15
-0.3629 0.9767 0.1356 -0.4086 13
-0.3545 0.9774 0.1358 -0.3690 11
-0.3617 0.9766 0.1316 -0.3693 10
-0.3373 0.9782 0.1329 -0.3724 10
-0.3611 0.9761 0.1293 -0.3859 11
-0.3325 0.9772 0.1311 -0.4086 13
-0.3636 0.9776 0.1285 -0.3771 12
-0.3851 0.9768 0.1289 -0.3455 10
-0.3522 0.9801 0.1295 -0.3642 9
-0.3300 0.9789 0.1287 -0.3964 9
-0.3392 0.9780 0.1292 -0.3855 13
-0.3438 0.9800 0.1239 -0.4015 10
-0.3284 0.9780 0.1266 -0.3943 12
-0.3630 0.9785 0.1246 -0.4033 10
-0.3869 0.9807 0.1225 -0.3908 13
-0.3269 0.9799 0.1263 -0.4174 13
-0.3220 0.9785 0.1268 -0.3967 14
-0.3398 0.9822 0.1225 -0.3819 11
-0.3952 0.9777 0.1240 -0.3833 14
-0.3369 0.9787 0.1236 -0.3882 13
-0.3576 0.9782 0.1240 -0.3383 15
-0.3381 0.9782 0.1242 -0.3734 11
-0.3285 0.9784 0.1247 -0.3466 12
-0.3394 0.9823 0.1291 -0.4029 14
