mu phi sigma nu
-0.5884 0.9689 0.1163 7
-0.4443 0.9819 0.1156 9
-0.3582 0.9738 0.1137 8
-0.4995 0.9767 0.1143 11
-0.4799 0.9799 0.1179 9
-0.3553 0.9830 0.1167 10
-0.7179 0.9851 0.1181 12
-0.6347 0.9855 0.1173 9
-0.1671 0.9849 0.1117 9
-0.7039 0.9846 0.1138 10
-0.1193 0.9856 0.1167 11
-0.5451 0.9798 0.1203 9
-0.4633 0.9775 0.1215 13
-0.2992 0.9731 0.1212 9
-0.3194 0.9841 0.1206 8
-0.5094 0.9728 0.1211 10
-0.4960 0.9803 0.1243 10
-0.4970 0.9788 0.1245 10
-0.4933 0.9740 0.1225 9
-0.4580 0.9753 0.1227 13
-0.4637 0.9863 0.1213 15
-0.4231 0.9799 0.1228 12
-0.4352 0.9768 0.1224 12
-0.3433 0.9775 0.1256 11
-0.3668 0.9812 0.1256 12
-0.3910 0.9752 0.1235 12
-0.5398 0.9664 0.1251 13
-0.3189 0.9773 0.1258 8
-0.4129 0.9864 0.1238 9
-0.3788 0.9763 0.1232 11
-0.4017 0.9795 0.1229 10
-0.4387 0.9776 0.1185 9
-0.4460 0.9723 0.1205 11
-0.4410 0.9782 0.1214 10
-0.5049 0.9768 0.1257 11
-0.2563 0.9742 0.1269 11
-0.4844 0.9773 0.1239 8
-0.3867 0.9717 0.1257 10
-0.4006 0.9718 0.1264 10
-0.3788 0.9718 0.1238 9
-0.3939 0.9735 0.1234 10
-0.4425 0.9749 0.1233 11
-0.5593 0.9840 0.1247 9
-0.1407 0.9801 0.1215 9
-0.5788 0.9756 0.1245 11
-0.4762 0.9840 0.1239 7
-0.3227 0.9732 0.1222 8
-0.2169 0.9791 0.1235 7
-0.5028 0.9721 0.1193 10
-0.4824 0.9736 0.1172 11
-0.6705 0.9825 0.1179 10
-0.6835 0.9776 0.1178 8
-0.5758 0.9826 0.1181 8
-0.1789 0.9850 0.1169 10
-0.1857 0.9770 0.1141 9
-0.4672 0.9774 0.1111 10
-0.5214 0.9786 0.1157 10
-0.5251 0.9791 0.1183 9
-0.5983 0.9788 0.1166 9
-0.3698 0.9733 0.1151 8
-0.4655 0.9842 0.1180 9
-0.3248 0.9770 0.1199 10
-0.5391 0.9804 0.1192 10
-0.3732 0.9753 0.1229 10
-0.4675 0.9781 0.1234 9
-0.6229 0.9753 0.1224 7
-0.5274 0.9779 0.1262 9
-0.5751 0.9813 0.1252 8
-0.3781 0.9788 0.1227 8
-0.6418 0.9718 0.1254 11
-0.3527 0.9759 0.1238 10
-0.5140 0.9834 0.1160 9
-0.6293 0.9794 0.1156 12
-0.4973 0.9768 0.1137 9
-0.5801 0.9802 0.1162 8
-0.3977 0.9815 0.1158 10
-0.7883 0.9802 0.1182 8
-0.1466 0.9824 0.1217 9
-0.3864 0.9781 0.1208 8
-0.3383 0.9819 0.1186 10
-0.6147 0.9795 0.1170 9
-0.4205 0.9860 0.1202 8
-0.3308 0.9838 0.1201 9
-0.4941 0.9755 0.1198 9
-0.5230 0.9738 0.1211 9
-0.5165 0.9845 0.1213 12
-0.2780 0.9849 0.1222 9
-0.5941 0.9859 0.1254 9
-0.4764 0.9803 0.1231 9
-0.5721 0.9742 0.1258 10
-0.5318 0.9721 0.1265 16
-0.4104 0.9755 0.1248 10
-0.4749 0.9772 0.1287 9
-0.4713 0.9758 0.1337 11
-0.3538 0.9822 0.1316 8
-0.3659 0.9748 0.1311 9
-0.4996 0.9685 0.1262 11
-0.6204 0.9717 0.1232 11
-0.3295 0.9820 0.1256 9
-0.2111 0.9735 0.1276 8
-0.6522 0.9745 0.1309 11
-0.4078 0.9686 0.1344 11
-0.4608 0.9780 0.1305 7
-0.3569 0.9847 0.1315 12
-0.4846 0.9709 0.1332 10
-0.5550 0.9713 0.1361 9
-0.7448 0.9722 0.1340 9
-0.6351 0.9754 0.1369 8
-0.2999 0.9786 0.1308 9
-0.5265 0.9841 0.1300 9
-0.3399 0.9721 0.1323 10
-0.3630 0.9732 0.1343 10
-0.4582 0.9659 0.1297 10
-0.4935 0.9702 0.1253 9
-0.4358 0.9678 0.1233 10
-0.4315 0.9704 0.1228 9
-0.5126 0.9839 0.1192 9
-0.1805 0.9760 0.1200 9
-0.5484 0.9796 0.1235 12
-0.6115 0.9734 0.1254 11
-0.3257 0.9766 0.1251 11
-0.4325 0.9735 0.1252 11
-0.6580 0.9799 0.1297 10
-0.5225 0.9713 0.1264 8
-0.5087 0.9758 0.1268 9
-0.4550 0.9765 0.1265 9
-0.3865 0.9803 0.1278 8
-0.2471 0.9828 0.1322 9
-0.3009 0.9791 0.1281 10
-0.5166 0.9848 0.1288 8
-0.7776 0.9772 0.1271 9
-0.5724 0.9764 0.1259 8
-0.5713 0.9778 0.1265 8
-0.5256 0.9813 0.1210 10
-0.5522 0.9846 0.1189 10
-0.2077 0.9819 0.1192 9
-0.6309 0.9872 0.1179 8
-0.2678 0.9767 0.1192 8
-0.5284 0.9717 0.1192 11
-0.4671 0.9770 0.1149 10
-0.3084 0.9837 0.1171 8
-0.4057 0.9850 0.1171 8
-0.5699 0.9794 0.1144 8
-0.4567 0.9664 0.1144 9
-0.5072 0.9815 0.1146 7
-0.5496 0.9719 0.1138 8
-0.6765 0.9817 0.1103 8
-0.3571 0.9814 0.1109 9
-0.5117 0.9754 0.1134 10
-0.4774 0.9788 0.1127 10
-0.3297 0.9798 0.1105 8
-0.4501 0.9832 0.1115 9
-0.2902 0.9850 0.1065 10
-0.5421 0.9814 0.1082 9
-0.2798 0.9853 0.1096 8
-0.2438 0.9809 0.1119 8
-0.3446 0.9788 0.1136 8
-0.2598 0.9806 0.1115 9
-0.3672 0.9831 0.1117 8
-0.6138 0.9861 0.1159 9
-0.4611 0.9875 0.1131 9
-0.1972 0.9849 0.1128 8
-0.6881 0.9845 0.1144 8
-0.4965 0.9789 0.1149 9
-0.2767 0.9841 0.1137 8
-0.6326 0.9794 0.1173 7
-0.5045 0.9736 0.1211 9
-0.5056 0.9784 0.1175 7
-0.4305 0.9811 0.1136 8
-0.6148 0.9740 0.1162 10
-0.6213 0.9885 0.1132 8
-0.5030 0.9865 0.1120 9
-0.2228 0.9893 0.1127 9
-0.2212 0.9830 0.1145 8
-0.4068 0.9814 0.1131 8
-0.6324 0.9848 0.1127 8
-0.4604 0.9842 0.1150 9
-0.4616 0.9864 0.1161 8
-0.4197 0.9834 0.1168 8
-0.5073 0.9795 0.1203 8
-0.5527 0.9802 0.1208 7
-0.5396 0.9741 0.1195 8
-0.4172 0.9755 0.1206 10
-0.4773 0.9798 0.1205 10
-0.4726 0.9721 0.1175 8
-0.6070 0.9772 0.1196 8
-0.3876 0.9855 0.1174 8
-0.5823 0.9804 0.1135 8
-0.4491 0.9802 0.1162 11
-0.8769 0.9871 0.1175 10
-0.7994 0.9858 0.1154 8
-0.3395 0.9818 0.1156 8
-0.1531 0.9908 0.1159 11
-0.1855 0.9867 0.1120 9
-0.5615 0.9841 0.1093 9
-0.3588 0.9787 0.1072 9
-0.4778 0.9872 0.1063 7
-0.3341 0.9898 0.1080 8
-0.2340 0.9794 0.1138 8
-0.3927 0.9765 0.1135 8
-0.2081 0.9882 0.1108 10
-0.3395 0.9820 0.1106 9
-0.4804 0.9731 0.1109 7
-0.4268 0.9816 0.1066 8
-0.6083 0.9837 0.1081 9
-0.4771 0.9769 0.1043 7
-0.5589 0.9835 0.1040 8
-0.5697 0.9843 0.1042 8
-0.3853 0.9812 0.1017 11
-0.4677 0.9825 0.1047 9
-0.2298 0.9860 0.1006 10
-0.4055 0.9860 0.1021 12
-0.6874 0.9833 0.1041 8
-0.3558 0.9777 0.1016 10
-0.4026 0.9893 0.0995 7
-0.7038 0.9909 0.1017 9
-0.2824 0.9822 0.0980 7
-0.4752 0.9815 0.0972 9
-0.2462 0.9901 0.0980 8
-0.1517 0.9869 0.0993 10
-0.2101 0.9880 0.0983 11
-0.4428 0.9871 0.0979 8
-0.2849 0.9906 0.0969 8
-0.8596 0.9927 0.1002 7
-0.2735 0.9904 0.1026 7
-0.1470 0.9865 0.1003 8
-0.5064 0.9791 0.1026 9
-0.5948 0.9821 0.1037 10
-0.3283 0.9888 0.1035 8
-0.8649 0.9920 0.1035 9
0.3441 0.9931 0.1038 9
-0.2779 0.9836 0.1035 10
-0.2131 0.9862 0.1026 10
-0.4789 0.9817 0.1026 8
-0.4689 0.9803 0.1030 7
-0.5176 0.9875 0.1029 10
-0.2974 0.9829 0.1049 9
-0.5100 0.9869 0.1011 9
-0.2646 0.9850 0.0996 8
-0.3502 0.9796 0.0987 8
-0.6289 0.9925 0.0999 9
-0.6163 0.9863 0.0988 7
-0.3529 0.9910 0.0978 8
-0.4249 0.9852 0.0960 10
-0.6909 0.9891 0.0954 7
-0.7221 0.9889 0.0995 7
-0.2953 0.9877 0.0984 9
-0.2255 0.9848 0.1017 8
-0.5450 0.9873 0.1024 9
-0.6509 0.9836 0.1009 8
-0.3934 0.9891 0.0970 10
-0.3187 0.9857 0.0987 10
-0.4775 0.9882 0.0962 7
-0.4524 0.9854 0.0949 7
-0.7930 0.9900 0.0959 11
-0.5080 0.9838 0.0984 9
-0.4889 0.9870 0.0973 7
-0.6396 0.9803 0.0987 9
-0.2640 0.9872 0.0991 8
-0.5557 0.9888 0.1004 9
-0.0560 0.9910 0.1003 7
-0.6454 0.9831 0.1002 7
-0.5910 0.9825 0.1028 7
-0.6360 0.9797 0.1045 8
-0.5898 0.9781 0.1017 9
-0.5842 0.9837 0.1040 10
-0.3380 0.9801 0.1070 8
-0.5112 0.9836 0.1043 7
-0.4925 0.9836 0.1016 7
-0.5628 0.9878 0.1043 10
-0.7159 0.9838 0.1042 7
-0.0469 0.9855 0.1032 10
-0.6041 0.9813 0.1013 9
-0.6648 0.9805 0.1039 9
-0.4454 0.9778 0.1021 10
-0.4588 0.9811 0.1005 8
-0.5145 0.9833 0.1027 8
-0.3948 0.9804 0.1069 8
-0.3935 0.9753 0.1025 7
-0.3385 0.9823 0.1029 8
-0.4967 0.9785 0.1007 9
-0.6427 0.9805 0.1029 8
-0.4677 0.9825 0.1036 7
-0.5673 0.9806 0.1035 8
-0.6333 0.9811 0.1089 8
-0.5776 0.9830 0.1057 7
-0.5074 0.9852 0.1032 8
-0.2202 0.9836 0.1023 8
-0.7026 0.9837 0.1031 8
-0.3782 0.9851 0.1070 11
-0.4328 0.9877 0.1023 10
-0.3484 0.9831 0.1040 9
-0.4177 0.9781 0.1070 8
-0.4930 0.9886 0.1091 8
-0.1250 0.9869 0.1078 9
-0.4694 0.9812 0.1056 8
-0.4794 0.9827 0.1038 8
-0.3516 0.9873 0.1020 10
-0.5152 0.9891 0.1035 10
-0.6091 0.9796 0.1060 9
-0.4865 0.9798 0.1051 8
-0.5146 0.9816 0.1093 10
-0.2366 0.9825 0.1099 8
-0.5207 0.9811 0.1067 7
-0.3798 0.9788 0.1057 11
-0.3905 0.9881 0.1090 8
0.0550 0.9897 0.1056 8
-0.2711 0.9866 0.1047 8
-0.5717 0.9858 0.1028 8
-0.2595 0.9847 0.1060 10
-0.5494 0.9784 0.1031 8
-0.5898 0.9826 0.1047 8
-0.0636 0.9885 0.1045 8
-0.3386 0.9829 0.1048 8
-0.1979 0.9843 0.1025 9
-0.3153 0.9854 0.1060 9
-0.2425 0.9894 0.1054 10
-0.2364 0.9829 0.1056 9
-0.3610 0.9903 0.1039 9
-0.4161 0.9930 0.1052 10
-0.8043 0.9895 0.1091 7
-0.0365 0.9902 0.1035 8
-0.3730 0.9826 0.1039 10
-0.6285 0.9876 0.1024 8
-0.3656 0.9845 0.1025 10
0.0128 0.9879 0.1014 7
-0.3324 0.9810 0.1030 9
-0.2891 0.9875 0.0996 8
-0.2238 0.9885 0.0978 11
-0.3375 0.9919 0.1008 10
-0.4798 0.9820 0.1029 10
-0.1873 0.9888 0.1044 9
-0.2615 0.9886 0.1077 9
-0.7289 0.9878 0.1077 9
-0.1965 0.9884 0.1080 10
-0.2355 0.9895 0.1107 9
-0.1507 0.9849 0.1115 12
-0.4160 0.9833 0.1118 9
-0.2582 0.9807 0.1120 10
-0.4231 0.9925 0.1099 8
-0.6158 0.9842 0.1092 11
-0.1807 0.9882 0.1066 9
-0.2664 0.9854 0.1085 8
-0.5774 0.9883 0.1120 9
-0.1614 0.9900 0.1139 11
-0.0268 0.9827 0.1172 9
-0.3598 0.9821 0.1183 10
-0.3980 0.9888 0.1201 8
-0.5164 0.9785 0.1179 10
-0.4334 0.9775 0.1168 13
-0.5634 0.9723 0.1196 9
-0.4747 0.9818 0.1201 9
-0.3819 0.9830 0.1182 9
-0.3084 0.9852 0.1182 9
-0.3115 0.9746 0.1175 10
-0.6655 0.9841 0.1225 10
-0.2719 0.9849 0.1213 10
-0.2967 0.9824 0.1182 10
-0.4622 0.9803 0.1179 11
-0.3736 0.9737 0.1214 8
-0.4541 0.9753 0.1179 8
-0.6527 0.9822 0.1211 10
-0.5139 0.9823 0.1217 12
-0.3073 0.9747 0.1195 10
-0.4698 0.9835 0.1204 10
-0.4327 0.9819 0.1216 11
-0.3528 0.9830 0.1258 7
-0.3268 0.9828 0.1253 9
-0.3612 0.9860 0.1231 8
-0.4436 0.9817 0.1200 12
-0.4429 0.9803 0.1195 8
-0.7175 0.9845 0.1189 8
-0.3618 0.9754 0.1224 10
-0.5131 0.9834 0.1226 9
-0.6823 0.9816 0.1208 8
-0.4301 0.9718 0.1149 7
-0.6119 0.9787 0.1168 10
-0.5193 0.9843 0.1161 10
-0.3715 0.9824 0.1169 8
-0.4062 0.9889 0.1180 10
-0.8564 0.9850 0.1172 9
-0.4895 0.9826 0.1124 9
-0.4506 0.9804 0.1126 9
-0.4901 0.9803 0.1130 9
-0.4355 0.9806 0.1154 9
-0.2832 0.9891 0.1179 7
-0.3354 0.9826 0.1183 10
-0.6017 0.9733 0.1222 8
-0.5295 0.9878 0.1203 8
-0.7074 0.9848 0.1206 10
-0.6661 0.9777 0.1183 11
-0.0527 0.9895 0.1182 10
-0.4523 0.9765 0.1184 10
-0.5291 0.9901 0.1196 11
-0.5798 0.9866 0.1169 7
-0.3432 0.9785 0.1198 10
-0.3846 0.9752 0.1207 9
-0.3931 0.9846 0.1181 10
-0.7968 0.9899 0.1165 15
-0.6273 0.9887 0.1203 10
-0.1018 0.9847 0.1268 8
-0.4703 0.9809 0.1287 12
-0.4549 0.9762 0.1282 11
-0.3402 0.9768 0.1272 13
-0.5599 0.9727 0.1276 9
-0.4648 0.9722 0.1291 12
-0.3790 0.9755 0.1379 9
-0.3499 0.9718 0.1405 10
-0.3479 0.9744 0.1427 10
-0.5452 0.9720 0.1469 9
-0.2825 0.9730 0.1449 8
-0.5275 0.9709 0.1441 9
-0.5883 0.9695 0.1440 7
-0.3837 0.9690 0.1400 8
-0.3837 0.9710 0.1407 11
-0.5899 0.9689 0.1449 13
-0.5099 0.9738 0.1458 8
-0.3182 0.9708 0.1407 8
-0.4736 0.9731 0.1407 11
-0.4026 0.9782 0.1380 11
-0.6073 0.9747 0.1387 8
-0.3272 0.9823 0.1359 10
-0.5173 0.9805 0.1337 14
-0.6397 0.9702 0.1328 8
-0.4014 0.9750 0.1256 10
-0.6700 0.9752 0.1260 13
-0.5729 0.9786 0.1257 12
-0.3946 0.9826 0.1256 11
-0.5836 0.9802 0.1306 8
-0.4048 0.9654 0.1343 9
-0.3698 0.9711 0.1300 8
-0.4725 0.9859 0.1285 8
-0.5307 0.9770 0.1277 9
-0.5994 0.9759 0.1317 9
-0.5154 0.9812 0.1296 9
-0.4591 0.9858 0.1308 7
-0.6802 0.9818 0.1256 10
-0.4796 0.9784 0.1267 9
-0.5240 0.9814 0.1307 14
-0.2906 0.9846 0.1297 9
-0.2759 0.9763 0.1287 8
-0.6616 0.9820 0.1273 10
-0.5549 0.9876 0.1310 9
-0.8104 0.9862 0.1310 9
-0.4764 0.9707 0.1293 10
-0.2115 0.9858 0.1323 8
-0.4133 0.9790 0.1319 11
-0.2601 0.9770 0.1327 13
-0.5451 0.9790 0.1296 12
-0.2618 0.9750 0.1328 10
-0.4854 0.9692 0.1302 12
-0.3720 0.9713 0.1311 11
-0.4583 0.9761 0.1337 10
-0.6618 0.9834 0.1286 12
-0.6819 0.9767 0.1276 10
-0.4363 0.9746 0.1279 8
-0.3604 0.9816 0.1275 9
-0.6087 0.9802 0.1290 11
-0.4544 0.9752 0.1262 9
-0.6492 0.9799 0.1285 9
-0.6684 0.9750 0.1285 10
-0.5314 0.9747 0.1293 10
-0.5204 0.9756 0.1278 9
-0.4615 0.9804 0.1229 10
-0.4594 0.9820 0.1283 10
-0.6416 0.9870 0.1316 8
-0.4229 0.9724 0.1301 10
-0.3309 0.9795 0.1290 9
-0.4190 0.9854 0.1272 9
-0.5518 0.9794 0.1274 9
-0.6086 0.9720 0.1285 7
-0.2446 0.9777 0.1241 9
-0.2739 0.9725 0.1231 10
-0.3838 0.9823 0.1226 8
-0.1642 0.9831 0.1242 7
-0.4355 0.9806 0.1232 8
-0.6412 0.9732 0.1248 10
-0.4735 0.9814 0.1244 12
-0.5144 0.9775 0.1231 10
-0.5165 0.9785 0.1220 9
-0.4771 0.9815 0.1215 9
-0.4731 0.9836 0.1220 9
-0.4844 0.9645 0.1261 11
-0.4673 0.9839 0.1225 10
-0.4278 0.9711 0.1219 9
-0.4393 0.9770 0.1218 7
-0.6288 0.9814 0.1171 8
-0.6014 0.9799 0.1159 11
-0.4836 0.9713 0.1080 7
-0.4274 0.9813 0.1092 8
-0.6957 0.9831 0.1108 8
-0.3654 0.9794 0.1083 9
-0.3774 0.9796 0.1118 8
-0.7461 0.9855 0.1158 9
-0.3597 0.9854 0.1159 8
-0.4917 0.9748 0.1123 7
-0.6096 0.9853 0.1189 12
-0.2209 0.9787 0.1201 9
-0.5649 0.9814 0.1239 10
-0.5902 0.9792 0.1219 8
-0.5034 0.9822 0.1221 7
-0.4228 0.9733 0.1229 11
-0.5420 0.9840 0.1239 8
-0.4146 0.9757 0.1208 8
-0.6520 0.9741 0.1188 8
-0.4401 0.9812 0.1193 9
-0.3509 0.9803 0.1223 8
-0.3843 0.9799 0.1221 8
-0.5989 0.9790 0.1277 9
-0.5108 0.9802 0.1229 7
-0.1243 0.9832 0.1241 7
-0.2635 0.9798 0.1210 9
-0.1670 0.9849 0.1216 7
-0.6498 0.9812 0.1206 9
-0.5690 0.9744 0.1165 8
-0.4887 0.9764 0.1181 8
-0.3758 0.9786 0.1177 8
-0.5626 0.9791 0.1188 8
-0.3777 0.9783 0.1209 10
-0.4360 0.9821 0.1156 7
-0.7500 0.9794 0.1185 9
-0.4574 0.9796 0.1143 10
-0.5078 0.9867 0.1160 8
-0.0338 0.9910 0.1086 9
-0.2647 0.9820 0.1082 8
-0.9228 0.9868 0.1152 8
-0.5255 0.9770 0.1114 10
-0.5193 0.9774 0.1115 9
-0.4184 0.9822 0.1141 8
-0.2590 0.9868 0.1142 10
-0.5993 0.9775 0.1160 8
-0.3902 0.9811 0.1118 9
-0.2754 0.9881 0.1145 7
-0.1258 0.9824 0.1100 9
-0.4195 0.9839 0.1077 8
-0.3587 0.9827 0.1086 8
-0.5480 0.9796 0.1066 8
-0.2839 0.9913 0.1094 10
-0.3130 0.9784 0.1103 7
-0.4861 0.9817 0.1128 8
-0.6201 0.9806 0.1124 9
-0.3797 0.9824 0.1122 10
-0.4672 0.9831 0.1132 11
-0.5683 0.9841 0.1110 8
-0.3031 0.9863 0.1111 8
-0.4239 0.9845 0.1092 9
-0.5615 0.9848 0.1108 9
-0.5940 0.9802 0.1093 9
-0.2582 0.9867 0.1089 8
-0.2763 0.9812 0.1081 10
-0.5502 0.9905 0.1100 7
-0.5196 0.9880 0.1088 7
-0.4063 0.9831 0.1080 8
-0.6023 0.9815 0.1091 9
-0.4201 0.9853 0.1118 8
-0.8589 0.9852 0.1113 9
-0.5041 0.9883 0.1147 8
-0.5166 0.9850 0.1108 8
-0.3813 0.9847 0.1116 8
-0.4033 0.9877 0.1096 10
-0.3931 0.9916 0.1104 10
-0.0602 0.9921 0.1104 9
-0.2968 0.9823 0.1109 9
-0.4411 0.9895 0.1124 9
-0.5434 0.9818 0.1098 8
-0.5252 0.9837 0.1116 8
-0.7250 0.9883 0.1101 7
-0.6770 0.9830 0.1113 10
-0.6942 0.9846 0.1113 8
-0.5522 0.9880 0.1127 10
-0.2722 0.9818 0.1145 8
-0.7338 0.9885 0.1130 7
-0.7201 0.9916 0.1116 9
-0.7748 0.9862 0.1109 8
-0.5003 0.9844 0.1117 7
-0.3129 0.9857 0.1188 7
-0.7021 0.9868 0.1200 7
-0.1662 0.9818 0.1173 10
-0.4513 0.9849 0.1166 8
-0.7341 0.9833 0.1151 8
-0.5145 0.9848 0.1171 8
-0.2741 0.9872 0.1165 8
-0.1547 0.9824 0.1197 8
-0.4294 0.9784 0.1211 7
-0.3475 0.9793 0.1209 9
-0.4572 0.9813 0.1204 10
-0.8369 0.9820 0.1250 8
-0.5785 0.9805 0.1266 10
-0.6139 0.9865 0.1225 9
-0.2187 0.9858 0.1214 9
-0.5963 0.9817 0.1267 9
-0.4821 0.9794 0.1288 10
-0.4183 0.9800 0.1254 7
-0.4039 0.9765 0.1213 8
-0.5866 0.9891 0.1195 9
-0.4343 0.9837 0.1220 7
-0.3624 0.9807 0.1242 8
-0.8178 0.9844 0.1249 8
-0.1711 0.9866 0.1237 9
-0.7688 0.9804 0.1214 8
-0.4593 0.9812 0.1220 9
-0.3964 0.9865 0.1280 9
-0.6247 0.9791 0.1228 12
-0.3483 0.9775 0.1216 9
-0.5647 0.9767 0.1259 8
-0.4079 0.9802 0.1264 8
-0.3344 0.9808 0.1272 9
-0.5045 0.9752 0.1283 8
-0.4104 0.9780 0.1353 8
-0.5374 0.9868 0.1312 7
-0.3266 0.9782 0.1293 10
-0.6031 0.9774 0.1269 9
-0.2853 0.9780 0.1271 9
-0.4708 0.9838 0.1223 9
-0.4468 0.9765 0.1242 8
-0.5992 0.9730 0.1207 9
-0.4468 0.9877 0.1206 8
-0.5121 0.9750 0.1234 10
-0.4897 0.9817 0.1240 7
-0.5278 0.9883 0.1198 7
-0.6362 0.9810 0.1215 9
-0.4799 0.9828 0.1215 9
-0.6096 0.9815 0.1226 10
-0.6993 0.9781 0.1188 9
-0.3991 0.9769 0.1198 9
-0.5745 0.9832 0.1177 8
-0.6139 0.9786 0.1172 7
-0.5192 0.9865 0.1175 9
-0.6128 0.9864 0.1127 8
-0.3713 0.9804 0.1143 8
-0.6143 0.9792 0.1150 8
-0.2982 0.9819 0.1173 7
-0.7333 0.9835 0.1185 7
-0.4268 0.9863 0.1218 8
-0.3574 0.9769 0.1211 10
-0.4334 0.9798 0.1206 9
-0.4676 0.9775 0.1225 10
-0.4655 0.9868 0.1217 8
-0.1257 0.9898 0.1178 8
-0.3397 0.9857 0.1189 8
-0.5001 0.9812 0.1247 8
-0.3363 0.9745 0.1230 8
-0.4692 0.9719 0.1259 9
-0.5952 0.9812 0.1216 10
-0.7665 0.9813 0.1182 8
-0.4621 0.9850 0.1186 9
-0.3273 0.9783 0.1172 10
-0.4182 0.9852 0.1155 7
-0.7539 0.9836 0.1132 7
-0.4021 0.9861 0.1126 9
-0.4942 0.9805 0.1100 10
-0.6132 0.9824 0.1095 8
-0.5915 0.9880 0.1102 9
-0.4754 0.9821 0.1071 8
-0.7130 0.9870 0.1083 8
-0.4208 0.9804 0.1064 8
-0.3092 0.9858 0.1074 11
-0.0855 0.9937 0.1077 10
-0.6227 0.9852 0.1076 8
-0.4449 0.9876 0.1075 9
-0.3108 0.9842 0.1043 9
-0.4294 0.9789 0.1084 8
-0.3709 0.9875 0.1096 10
-0.6760 0.9837 0.1078 8
-0.5511 0.9895 0.1065 8
-0.2958 0.9852 0.1059 9
-0.3476 0.9846 0.1040 9
-0.2890 0.9845 0.1064 8
-0.3179 0.9862 0.1097 9
-0.4242 0.9899 0.1062 11
-0.6508 0.9758 0.1073 10
-0.4438 0.9885 0.1071 10
-0.4585 0.9834 0.1039 9
-0.5811 0.9839 0.1062 10
-0.2841 0.9868 0.1079 9
-0.6328 0.9826 0.1081 12
-0.5874 0.9873 0.1109 9
-0.2561 0.9852 0.1070 9
-0.3256 0.9851 0.1050 9
-0.2980 0.9800 0.1046 9
-0.4110 0.9824 0.1053 7
-0.4616 0.9882 0.1107 9
-0.3121 0.9809 0.1104 7
-0.4614 0.9826 0.1097 9
-0.3286 0.9781 0.1103 7
-0.3708 0.9866 0.1113 10
-0.7314 0.9838 0.1141 9
-0.4965 0.9816 0.1159 7
-0.5010 0.9772 0.1134 9
-0.6397 0.9826 0.1159 8
-0.5301 0.9810 0.1171 10
-0.6136 0.9813 0.1211 9
-0.4544 0.9822 0.1187 8
-0.2858 0.9802 0.1173 8
-0.3092 0.9801 0.1230 8
-0.3649 0.9806 0.1217 9
-0.4320 0.9815 0.1239 10
-0.6521 0.9800 0.1202 8
-0.6954 0.9850 0.1207 8
-0.2703 0.9826 0.1224 9
-0.4910 0.9809 0.1243 9
-0.5593 0.9819 0.1219 8
-0.5468 0.9817 0.1218 9
-0.5029 0.9779 0.1168 9
-0.5015 0.9773 0.1120 9
-0.4004 0.9837 0.1129 8
-0.4074 0.9855 0.1095 8
-0.6182 0.9899 0.1111 8
-0.5727 0.9789 0.1147 8
-0.5505 0.9881 0.1172 8
-0.8381 0.9826 0.1128 8
-0.4943 0.9816 0.1127 10
-0.5411 0.9863 0.1134 8
-0.7351 0.9801 0.1087 9
-0.4235 0.9815 0.1070 9
-0.3797 0.9843 0.1085 8
-0.4014 0.9843 0.1098 9
-0.0802 0.9836 0.1084 9
-0.6479 0.9800 0.1076 9
-0.5549 0.9894 0.1096 9
-0.5169 0.9827 0.1067 9
-0.2868 0.9859 0.1068 9
-0.4591 0.9834 0.1061 10
-0.5397 0.9949 0.1088 11
0.3471 0.9913 0.1090 12
-0.3681 0.9874 0.1119 11
-0.9245 0.9863 0.1130 7
-0.5422 0.9792 0.1118 10
-0.6477 0.9908 0.1148 11
-0.0920 0.9874 0.1164 9
-0.2416 0.9847 0.1156 10
-0.5933 0.9887 0.1131 14
0.0146 0.9881 0.1173 8
-0.5347 0.9785 0.1197 9
-0.4824 0.9806 0.1147 8
-0.4643 0.9829 0.1141 9
-0.3019 0.9833 0.1153 11
-0.5371 0.9815 0.1157 9
-0.4476 0.9828 0.1226 10
-0.1151 0.9852 0.1165 8
-0.5853 0.9814 0.1183 9
-0.3527 0.9871 0.1194 10
-0.3406 0.9776 0.1187 9
-0.5943 0.9805 0.1164 12
-0.4233 0.9823 0.1170 10
-0.4763 0.9812 0.1147 12
-0.2924 0.9830 0.1163 10
-0.5852 0.9811 0.1134 10
-0.4407 0.9855 0.1163 9
-0.3937 0.9832 0.1201 7
-0.2746 0.9879 0.1173 10
-0.5582 0.9822 0.1226 10
-0.5696 0.9773 0.1220 12
-0.2972 0.9778 0.1236 8
-0.2253 0.9750 0.1272 11
-0.4589 0.9752 0.1243 9
-0.4628 0.9728 0.1213 9
-0.4173 0.9808 0.1198 11
-0.5070 0.9824 0.1225 11
-0.3654 0.9750 0.1207 12
-0.3945 0.9766 0.1168 9
-0.4644 0.9847 0.1143 14
-0.3833 0.9776 0.1126 10
-0.2763 0.9760 0.1135 11
-0.4337 0.9793 0.1122 13
-0.2131 0.9790 0.1117 10
-0.5261 0.9817 0.1145 11
-0.5780 0.9752 0.1126 10
-0.5425 0.9753 0.1140 9
-0.5245 0.9835 0.1167 9
-0.3081 0.9712 0.1182 10
-0.4242 0.9688 0.1201 10
-0.3222 0.9752 0.1179 10
-0.3556 0.9814 0.1139 9
-0.5722 0.9880 0.1142 12
-0.4220 0.9703 0.1119 12
-0.3525 0.9813 0.1101 9
