mu phi sigma nu
-0.1636 0.9793 0.1251 12
-0.2545 0.9782 0.1253 12
-0.5032 0.9759 0.1264 8
-0.3603 0.9794 0.1271 11
-0.0176 0.9777 0.1273 10
-0.5544 0.9739 0.1304 13
-0.3232 0.9791 0.1293 11
-0.3197 0.9835 0.1287 10
-0.3986 0.9735 0.1250 11
-0.4309 0.9690 0.1274 15
-0.5940 0.9758 0.1309 13
-0.4444 0.9769 0.1272 11
-0.4757 0.9786 0.1298 12
-0.4233 0.9744 0.1306 9
-0.3081 0.9780 0.1274 15
-0.3346 0.9798 0.1274 10
-0.4748 0.9800 0.1263 13
-0.5026 0.9795 0.1231 12
-0.4178 0.9754 0.1223 12
-0.2271 0.9778 0.1289 10
-0.2707 0.9826 0.1270 10
-0.2863 0.9772 0.1293 11
-0.2592 0.9811 0.1324 14
-0.1566 0.9768 0.1339 13
-0.2386 0.9796 0.1359 12
-0.5063 0.9801 0.1298 12
-0.7509 0.9776 0.1303 13
-0.2941 0.9723 0.1315 11
-0.4647 0.9867 0.1329 13
-0.2449 0.9705 0.1340 11
-0.3819 0.9774 0.1335 11
-0.1687 0.9753 0.1390 11
-0.4838 0.9748 0.1387 12
-0.4356 0.9717 0.1406 10
-0.2990 0.9763 0.1431 11
-0.3575 0.9805 0.1438 11
-0.3990 0.9627 0.1477 13
-0.2669 0.9745 0.1492 12
-0.5216 0.9770 0.1479 13
-0.4399 0.9624 0.1497 9
-0.3048 0.9774 0.1480 9
-0.0665 0.9723 0.1467 9
-0.2909 0.9685 0.1473 10
-0.3358 0.9746 0.1461 14
-0.4172 0.9648 0.1494 11
-0.3473 0.9759 0.1537 12
-0.6220 0.9737 0.1607 8
-0.3580 0.9682 0.1648 10
-0.4932 0.9647 0.1667 11
-0.4875 0.9684 0.1632 9
-0.4295 0.9585 0.1575 11
-0.2258 0.9693 0.1590 11
-0.5319 0.9648 0.1580 12
-0.3655 0.9716 0.1580 9
-0.1750 0.9681 0.1560 10
-0.4974 0.9662 0.1515 14
-0.5324 0.9790 0.1544 10
-0.4127 0.9694 0.1545 12
-0.4575 0.9667 0.1598 9
-0.4593 0.9762 0.1638 11
-0.6980 0.9773 0.1627 12
-0.2896 0.9616 0.1595 11
-0.4878 0.9674 0.1609 11
-0.3491 0.9714 0.1586 11
-0.4173 0.9706 0.1561 10
-0.6142 0.9684 0.1556 10
-0.4661 0.9779 0.1512 14
-0.3522 0.9677 0.1476 16
-0.4626 0.9738 0.1506 15
-0.6591 0.9738 0.1517 11
-0.3829 0.9622 0.1548 12
-0.3415 0.9717 0.1598 11
-0.3249 0.9710 0.1602 12
-0.3448 0.9551 0.1627 15
-0.3670 0.9666 0.1681 12
-0.3520 0.9547 0.1602 13
-0.4405 0.9691 0.1595 13
-0.3262 0.9711 0.1504 12
-0.2091 0.9724 0.1484 17
-0.2221 0.9756 0.1506 15
-0.3061 0.9688 0.1532 12
